"year","port_code","gear","n"
"2013","ESAQA","DTS",2
"2013","ESAQA","PS",2
"2013","ESARN","DTS",4
"2013","ESARN","PS",1
"2013","ESBCN","DTS",5
"2013","ESBCN","PS",7
"2013","ESBLA","DTS",4
"2013","ESBLA","PS",2
"2013","ESBNI","DTS",10
"2013","ESBRX","PS",3
"2013","ESCAS","DTS",9
"2013","ESCAS","PS",5
"2013","ESCBL","DTS",9
"2013","ESCBL","PS",1
"2013","ESCDK","DTS",2
"2013","ESCFE","DTS",1
"2013","ESCLP","DTS",7
"2013","ESDNA","DTS",7
"2013","ESERA","DTS",7
"2013","ESGAN","DTS",1
"2013","ESGLE","PS",3
"2013","ESJAV","DTS",2
"2013","ESJAV","PS",2
"2013","ESKLL","DTS",8
"2013","ESKLL","PS",4
"2013","ESLLC","DTS",2
"2013","ESPAL","DTS",11
"2013","ESPAL","PS",1
"2013","ESPNL","DTS",14
"2013","ESQAJ","DTS",2
"2013","ESROS","DTS",12
"2013","ESROS","PS",3
"2013","ESSCR","DTS",23
"2013","ESSFU","PS",2
"2013","ESSPO","DTS",12
"2013","ESSPP","DTS",1
"2013","ESSPP","PS",1
"2013","ESTAR","DTS",9
"2013","ESTAR","PS",3
"2013","ESTOR","DTS",1
"2013","ESTOR","PS",2
"2013","ESVJY","DTS",13
"2013","ESVLC","DTS",2
"2013","ESVLG","DTS",8
"2013","ESVLG","PS",5
"2013","ESVZR","DTS",3
"2013","ESVZR","PS",2
"2014","ESAQA","DTS",2
"2014","ESAQA","PS",2
"2014","ESARN","DTS",5
"2014","ESARN","PS",1
"2014","ESBCN","DTS",4
"2014","ESBCN","PS",8
"2014","ESBLA","DTS",3
"2014","ESBLA","PS",1
"2014","ESBNI","DTS",11
"2014","ESBRX","PS",3
"2014","ESCAS","DTS",8
"2014","ESCAS","PS",6
"2014","ESCBL","DTS",9
"2014","ESCBL","PS",1
"2014","ESCDK","DTS",2
"2014","ESCFE","DTS",1
