year,port_code,gear_code,vessel_length,n
2013,ESAQA,DTS,VL1824,1
2013,ESAQA,DTS,VL2440,1
2013,ESAQA,PS,VL2440,2
2013,ESARN,DTS,VL1218,2
2013,ESARN,DTS,VL1824,1
2013,ESARN,DTS,VL2440,1
2013,ESARN,PS,VL2440,1
2013,ESBCN,DTS,VL1218,1
2013,ESBCN,DTS,VL2440,4
2013,ESBCN,PS,VL1218,1
2013,ESBCN,PS,VL1824,5
2013,ESBCN,PS,VL2440,1
2013,ESBLA,DTS,VL1218,2
2013,ESBLA,DTS,VL2440,2
2013,ESBLA,PS,VL1824,2
2013,ESBNI,DTS,VL1218,2
2013,ESBNI,DTS,VL1824,4
2013,ESBNI,DTS,VL2440,4
2013,ESBRX,PS,VL1824,1
2013,ESBRX,PS,VL2440,2
2013,ESCAS,DTS,VL1824,4
2013,ESCAS,DTS,VL2440,5
2013,ESCAS,PS,VL1824,2
2013,ESCAS,PS,VL2440,3
2013,ESCBL,DTS,VL1218,3
2013,ESCBL,DTS,VL1824,4
2013,ESCBL,DTS,VL2440,2
2013,ESCBL,PS,VL1824,1
2013,ESCDK,DTS,VL1218,1
2013,ESCDK,DTS,VL1824,1
2013,ESCFE,DTS,VL1218,1
2013,ESCLP,DTS,VL1824,5
2013,ESCLP,DTS,VL2440,2
2013,ESDNA,DTS,VL1824,5
2013,ESDNA,DTS,VL2440,2
2013,ESERA,DTS,VL1824,7
2013,ESGAN,DTS,VL1824,1
2013,ESGLE,PS,VL1218,3
2013,ESJAV,DTS,VL1824,1
2013,ESJAV,DTS,VL2440,1
2013,ESJAV,PS,VL1218,1
2013,ESJAV,PS,VL2440,1
2013,ESKLL,DTS,VL1218,1
2013,ESKLL,DTS,VL1824,6
2013,ESKLL,DTS,VL2440,1
2013,ESKLL,PS,VL1824,3
2013,ESKLL,PS,VL2440,1
2013,ESLLC,DTS,VL1824,1
2013,ESLLC,DTS,VL2440,1
2013,ESPAL,DTS,VL1218,2
2013,ESPAL,DTS,VL1824,7
2013,ESPAL,DTS,VL2440,2
2013,ESPAL,PS,VL1218,1
2013,ESPNL,DTS,VL1218,4
2013,ESPNL,DTS,VL1824,8
2013,ESPNL,DTS,VL2440,2
2013,ESQAJ,DTS,VL2440,2
2013,ESROS,DTS,VL1218,1
2013,ESROS,DTS,VL1824,4
2013,ESROS,DTS,VL2440,7
2013,ESROS,PS,VL1824,2
2013,ESROS,PS,VL2440,1
2013,ESSCR,DTS,VL1218,11
2013,ESSCR,DTS,VL1824,9
2013,ESSCR,DTS,VL2440,3
2013,ESSFU,PS,VL1218,1
2013,ESSFU,PS,VL1824,1
2013,ESSPO,DTS,VL1824,9
2013,ESSPO,DTS,VL2440,3
2013,ESSPP,DTS,VL1824,1
2013,ESSPP,PS,VL1824,1
2013,ESTAR,DTS,VL1218,2
2013,ESTAR,DTS,VL1824,4
2013,ESTAR,DTS,VL2440,3
2013,ESTAR,PS,VL1218,1
2013,ESTAR,PS,VL1824,1
2013,ESTAR,PS,VL2440,1
2013,ESTOR,DTS,VL1824,1
2013,ESTOR,PS,VL1218,1
2013,ESTOR,PS,VL1824,1
2013,ESVJY,DTS,VL1218,2
2013,ESVJY,DTS,VL1824,7
2013,ESVJY,DTS,VL2440,4
2013,ESVLC,DTS,VL1824,2
2013,ESVLG,DTS,VL1824,6
2013,ESVLG,DTS,VL2440,2
2013,ESVLG,PS,VL1218,2
2013,ESVLG,PS,VL1824,2
2013,ESVLG,PS,VL2440,1
2013,ESVZR,DTS,VL1218,2
2013,ESVZR,DTS,VL2440,1
2013,ESVZR,PS,VL1824,1
2013,ESVZR,PS,VL2440,1
2014,ESAQA,DTS,VL1824,1
2014,ESAQA,DTS,VL2440,1
2014,ESAQA,PS,VL2440,2
2014,ESARN,DTS,VL1218,2
2014,ESARN,DTS,VL1824,2
2014,ESARN,DTS,VL2440,1
2014,ESARN,PS,VL2440,1
2014,ESBCN,DTS,VL2440,4
2014,ESBCN,PS,VL1218,1
2014,ESBCN,PS,VL1824,6
2014,ESBCN,PS,VL2440,1
2014,ESBLA,DTS,VL1218,1
2014,ESBLA,DTS,VL2440,2
2014,ESBLA,PS,VL1824,1
2014,ESBNI,DTS,VL1218,3
2014,ESBNI,DTS,VL1824,4
2014,ESBNI,DTS,VL2440,4
2014,ESBRX,PS,VL1824,1
2014,ESBRX,PS,VL2440,2
2014,ESCAS,DTS,VL1824,3
2014,ESCAS,DTS,VL2440,5
2014,ESCAS,PS,VL1824,2
2014,ESCAS,PS,VL2440,4
2014,ESCBL,DTS,VL1218,3
2014,ESCBL,DTS,VL1824,4
2014,ESCBL,DTS,VL2440,2
2014,ESCBL,PS,VL1824,1
2014,ESCDK,DTS,VL1218,1
2014,ESCDK,DTS,VL1824,1
2014,ESCFE,DTS,VL1218,1
2014,ESCLP,DTS,VL1824,5
2014,ESCLP,DTS,VL2440,2
2014,ESDNA,DTS,VL1218,1
2014,ESDNA,DTS,VL1824,5
2014,ESDNA,DTS,VL2440,2
2014,ESERA,DTS,VL1824,6
2014,ESGAN,DTS,VL1824,2
2014,ESGLE,PS,VL1218,1
2014,ESJAV,DTS,VL1824,1
2014,ESJAV,DTS,VL2440,1
2014,ESJAV,PS,VL1218,1
2014,ESJAV,PS,VL2440,1
2014,ESKLL,DTS,VL1218,1
2014,ESKLL,DTS,VL1824,6
2014,ESKLL,DTS,VL2440,1
2014,ESKLL,PS,VL1824,3
2014,ESKLL,PS,VL2440,1
2014,ESLLC,DTS,VL1824,1
2014,ESLLC,DTS,VL2440,1
2014,ESPAL,DTS,VL1218,2
2014,ESPAL,DTS,VL1824,7
2014,ESPAL,DTS,VL2440,2
2014,ESPAL,PS,VL1218,1
2014,ESPNL,DTS,VL1218,3
2014,ESPNL,DTS,VL1824,8
2014,ESPNL,DTS,VL2440,2
2014,ESQAJ,DTS,VL2440,2
2014,ESROS,DTS,VL1218,1
2014,ESROS,DTS,VL1824,4
2014,ESROS,DTS,VL2440,7
2014,ESROS,PS,VL1824,2
2014,ESROS,PS,VL2440,1
2014,ESSAG,DTS,VL1824,1
2014,ESSCR,DTS,VL1218,11
2014,ESSCR,DTS,VL1824,9
