"cscode","year","vessel_length","gear_type","supra_region","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","totfishdays","Fuel_cost","m","q","loa","loaFC","yFC","EC","GVA","Gross_profit"
"1300:370:1",2018,"VL1824","OTB","MBS",2200.72811706904,15.0334442128295,180.603280308294,220.213375024024,131.14686186386,712.951181482631,81.0797149657752,1,0.502828358672181,1.47,12.811,21,43.681,43.681,21.9640455351595,1661.83399855053,867.803102102122
"1300:370:1",2018,"VL2440","OTB","MBS",103931.59381733,287.939675836315,10182.2734305042,6115.66365036073,6931.66912771033,41202.0501730307,1911.98297358594,43,0.502828358672181,1.47,12.811,32,59.851,2573.593,1294.07554408021,79695.8517405113,36581.8185938947
"1300:370:1",2019,"VL1824","OTB","MBS",967.728777464285,15.3444519909612,93.6587025239694,86.2374792222548,54.8889512185781,329.393417891202,45.3350668334844,0.5,0.500663831533424,1.47,12.811,21,43.681,21.8405,10.9347484126057,737.353348077838,362.624863353151
"1300:370:1",2019,"VL2440","OTB","MBS",104733.211196971,2947.79781728307,7280.82280537193,12132.6830122288,5122.04256149127,40499.5373275366,3552.02003156453,47,0.500663831533424,1.47,12.811,32,59.851,2812.997,1408.36585611203,81737.0947790497,37685.5374199486
"1300:370:2",2018,"VL1824","OTB","MBS",1100.36405853452,7.51672210641475,90.3016401541471,110.106687512012,65.5734309319298,356.475590741316,40.5398574828876,0.5,0.502828358672181,1.47,12.811,21,43.681,21.8405,10.9820227675798,830.916999275264,433.901551051061
"1300:370:2",2019,"VL1824","OTB","MBS",967.728777464285,15.3444519909612,93.6587025239694,86.2374792222548,54.8889512185781,329.393417891202,45.3350668334844,0.5,0.500663831533424,1.47,12.811,21,43.681,21.8405,10.9347484126057,737.353348077838,362.624863353151
"1300:370:3",2017,"VL1824","OTB","MBS",211.922361964713,0.325637330277716,19.624683780587,22.8804572706439,9.73126294842414,73.347258369434,7.28256757940908,0.1,0.423215748104041,1.47,12.811,21,43.681,4.3681,1.84864870929326,158.162946586042,77.5331206371989
"1300:370:3",2017,"VL2440","OTB","MBS",6333.8335882848,52.3237364409609,511.110874732581,458.070006700175,449.692939087178,2453.5706699282,110.110231633291,3,0.423215748104041,1.47,12.811,32,59.851,179.553,75.9896572193249,4891.2938469865,2327.61294542501
"1300:370:3",2018,"VL1218","OTB","MBS",1525.342988121,0.177205053647101,86.7515091064827,163.161414660536,72.9261749391398,483.317421783428,130.44297234244,1,0.502828358672181,1.47,12.811,15,34.861,34.861,17.5290994116709,1185.15199505682,571.391600930949
"1300:370:3",2018,"VL1824","OTB","MBS",28609.4655218975,195.434774766783,2347.84264400783,2862.77387531231,1704.90920423018,9268.36535927421,1054.03629455508,13,0.502828358672181,1.47,12.811,21,43.681,567.853,285.532591957074,21603.8419811569,11281.4403273276
"1300:370:3",2018,"VL2440","OTB","MBS",24170.1380970536,66.9627153107709,2367.97056523354,1422.24736054901,1612.0160762117,9581.87213326295,444.647203159521,10,0.502828358672181,1.47,12.811,32,59.851,598.51,300.947800948887,18533.9190094212,8507.39967299876
"1300:370:3",2019,"VL1218","OTB","MBS",620.072243002601,0.550769491563104,54.1307968920211,59.2633962117338,18.7600820346368,199.471784753563,42.9981481069785,0.5,0.500663831533424,1.47,12.811,15,34.861,17.4305,8.72682091554335,479.741916440229,237.271983579688
"1300:370:3",2019,"VL1824","OTB","MBS",9677.28777464285,153.444519909612,936.587025239694,862.374792222548,548.88951218578,3293.93417891202,453.350668334844,5,0.500663831533424,1.47,12.811,21,43.681,218.405,109.347484126057,7373.53348077838,3626.24863353151
"1300:370:3",2019,"VL2440","OTB","MBS",23397.8450546424,658.550576201537,1626.56679694479,2710.49301337026,1144.28610416294,9047.76897742838,793.536390030373,10.5,0.500663831533424,1.47,12.811,32,59.851,628.4355,314.634925301623,18260.4147910643,8419.10942360553
"1300:370:3",2020,"VL1824","OTB","MBS",15156.076154415,193.071453220859,1749.6243577454,1369.57873233457,1032.86747713081,5640.14958917616,650.063424353637,7.5,0.335314196709714,1.47,12.811,21,43.681,327.6075,109.851445698578,11087.2255947265,4797.01258119669
"1300:370:3",2020,"VL2440","OTB","MBS",69101.7714305284,1977.23085981338,6579.33016327971,5351.22175008035,4681.39917438105,27894.1835861473,774.786194196958,33,0.335314196709714,1.47,12.811,32,59.851,1975.083,662.273369580011,53804.7778330207,25135.8080526764
"1300:370:3",2021,"VL1824","OTB","MBS",24811.617550319,144.483228252621,2083.70130238624,2796.65786982209,1411.88770698446,8750.55057617134,1403.37623083279,12,0.49821880876196,1.47,12.811,21,43.681,524.172,261.152349426374,18402.7015499525,8248.77474294834
"1300:370:3",2021,"VL2440","OTB","MBS",32591.3196431915,469.384070638516,3137.15067416006,2707.94846123065,1956.85904951464,14355.3532303807,998.385974219382,11.5,0.49821880876196,1.47,12.811,32,59.851,688.2865,342.917280116939,24915.8282488077,9562.08904420761
"1300:370:3",2022,"VL1824","OTB","MBS",0,0,0,0,0,0,0,9,NA,1.47,12.811,21,43.681,393.129,NA,NA,NA
"1300:370:3",2022,"VL2440","OTB","MBS",0,0,0,0,0,0,0,25,NA,1.47,12.811,32,59.851,1496.275,NA,NA,NA
"1300:370:4",2017,"VL2440","OTB","MBS",2111.2778627616,17.4412454803203,170.370291577527,152.690002233392,149.897646362393,817.856889976068,36.7034105444304,1,0.423215748104041,1.47,12.811,32,59.851,59.851,25.329885739775,1630.43128232883,775.870981808337
"1300:370:4",2018,"VL1824","OTB","MBS",101233.493385176,691.538433790157,8307.75089418154,10129.8152511051,6032.75564573755,32795.754348201,3729.66688842566,46,0.502828358672181,1.47,12.811,21,43.681,2009.326,1010.34609461734,76444.3639333243,39918.9426966976
"1300:370:4",2018,"VL2440","OTB","MBS",4834.02761941072,13.3925430621542,473.594113046709,284.449472109801,322.403215242341,1916.37442665259,88.9294406319041,2,0.502828358672181,1.47,12.811,32,59.851,119.702,60.1895601897774,3706.78380188425,1701.47993459975
"1300:370:4",2019,"VL1824","OTB","MBS",3870.91510985714,61.3778079638448,374.634810095878,344.949916889019,219.555804874312,1317.57367156481,181.340267333938,2,0.500663831533424,1.47,12.811,21,43.681,87.362,43.738993650423,2949.41339231135,1450.49945341261
"1300:370:4",2019,"VL2440","OTB","MBS",1114.18309784011,31.3595512476922,77.4555617592758,129.071095874774,54.4898144839497,430.846141782304,37.7874471443035,0.5,0.500663831533424,1.47,12.811,32,59.851,29.9255,14.9826154905535,869.543561479252,400.909972552644
"1300:370:4",2021,"VL2440","OTB","MBS",2834.02779506013,40.8160061424796,272.795710796527,235.473779237448,170.161656479534,1248.2915852505,86.8161716712506,1,0.49821880876196,1.47,12.811,32,59.851,59.851,29.8188939232121,2166.59376076589,831.48600384414
"1300:380:1",2017,"VL1218","OTB","MBS",17585.6978183714,0,2132.17621918678,1602.92924569584,956.276082569912,4796.55333634871,1533.71143350846,13,0.423215748104041,1.47,12.811,15,34.861,453.193,191.798414530515,12702.5178563883,6372.25308653116
"1300:380:1",2017,"VL1824","OTB","MBS",2966065.37805812,4557.62007456691,274667.074193095,320234.879959932,136198.756226144,1026568.2281386,101926.81584141,1399.6,0.423215748104041,1.47,12.811,21,43.681,61135.9276,25873.6873352685,2213648.60041824,1085153.55643824
"1300:380:1",2017,"VL2440","OTB","MBS",1866369.63068126,15418.0610046031,150607.337754534,134977.961974318,132509.519384355,722985.490738844,32445.8149212765,884,0.423215748104041,1.47,12.811,32,59.851,52908.284,22391.6189939611,1441301.25357869,685869.94791857
"1300:380:1",2018,"VL1218","OTB","MBS",46980.5640341268,5.45791565233072,2671.94648047967,5025.3715715445,2246.12618812551,14886.1765909296,4017.64354814715,30.8,0.502828358672181,1.47,12.811,15,34.861,1073.7188,539.896261879464,36502.68144775,17598.8613086732
"1300:380:1",2018,"VL1824","OTB","MBS",2426962.96750373,16578.8822779084,199169.297523987,242851.309976494,144628.759263464,786242.562939046,89414.7096642569,1102.8,0.502828358672181,1.47,12.811,21,43.681,48171.4068,24221.9494161739,1832670.53360152,957013.26099822
"1300:380:1",2018,"VL2440","OTB","MBS",1355944.74724471,3756.60832893425,132843.148709602,79788.0769267992,90434.1018754766,537543.026676051,24944.7080972491,561,0.502828358672181,1.47,12.811,32,59.851,33576.411,16883.1716332326,1039752.85642853,477265.12165523
"1300:380:1",2019,"VL1218","OTB","MBS",8060.93915903381,7.16000339032036,703.700359596274,770.42415075254,243.881066450279,2593.13320179631,558.97592539072,6.5,0.500663831533424,1.47,12.811,15,34.861,226.5965,113.448671902063,6236.64491372298,3084.53578653594
"1300:380:1",2019,"VL1824","OTB","MBS",1124500.8394135,17830.2532134969,108831.412332852,100207.95085626,63780.9613159877,382755.151589577,52679.3476605089,581,0.500663831533424,1.47,12.811,21,43.681,25378.661,12706.1776554479,856804.590466448,421370.091216362
"1300:380:1",2019,"VL2440","OTB","MBS",1168778.06963428,32896.1692588291,81250.8842854803,135395.579572638,57159.8153936633,451957.602729637,39639.0320543744,524.5,0.500663831533424,1.47,12.811,32,59.851,31391.8495,15716.7636495906,912151.195991735,420554.561207724
"1300:380:1",2020,"VL1218","OTB","MBS",5901.52601750271,5.14492394894047,443.699410263737,615.688055764132,251.397410476374,2190.32655972782,473.140494115927,3.5,0.335314196709714,1.47,12.811,15,34.861,122.0135,40.9128587402407,4554.97320620717,1891.50615236341
"1300:380:1",2020,"VL1824","OTB","MBS",1757094.42883518,22383.4171434049,202839.783874617,158779.827701988,119743.769515365,653881.342371823,75364.0196633983,869.5,0.335314196709714,1.47,12.811,21,43.681,37980.6295,12735.4442713218,1285379.02061529,556133.65858007
"1300:380:1",2020,"VL2440","OTB","MBS",1026056.60608966,29358.8824638956,97693.0842426382,79457.5350769506,69511.6847105065,414186.362339763,11504.4010653488,490,0.335314196709714,1.47,12.811,32,59.851,29326.99,9833.75609376381,798919.428429701,373228.665024589
"1300:380:1",2021,"VL1218","OTB","MBS",4954.8936761811,1.43968503937008,366.867106299213,490.511823326772,238.390046751968,1616.36464320866,377.531736003937,3,0.49821880876196,1.47,12.811,15,34.861,104.583,52.1052176767521,3808.45916716577,1814.56278795317
"1300:380:1",2021,"VL1824","OTB","MBS",2834727.30512395,16507.2088278619,238062.873797628,319518.161627173,161308.170522974,999750.403327575,160335.734372647,1371,0.49821880876196,1.47,12.811,21,43.681,59886.651,29836.6559219633,2102508.65208207,942422.514381848
"1300:380:1",2021,"VL2440","OTB","MBS",4028570.51067798,58019.9527315348,387779.102897263,334725.977186032,241884.794685658,1774446.48843358,123409.188030683,1421.5,0.49821880876196,1.47,12.811,32,59.851,85078.1965,42387.557711846,3079813.03092871,1181957.35446444
"1300:380:1",2022,"VL1218","OTB","MBS",0,0,0,0,0,0,0,9,NA,1.47,12.811,15,34.861,313.749,NA,NA,NA
"1300:380:1",2022,"VL1824","OTB","MBS",0,0,0,0,0,0,0,1273.5,NA,1.47,12.811,21,43.681,55627.7535,NA,NA,NA
"1300:380:1",2022,"VL2440","OTB","MBS",0,0,0,0,0,0,0,1369.5,NA,1.47,12.811,32,59.851,81965.9445,NA,NA,NA
"1300:380:2",2017,"VL1824","OTB","MBS",93245.8392644735,143.280425322195,8634.86086345827,10067.4011990833,4281.75569730662,32272.7936825509,3204.32973494,44,0.423215748104041,1.47,12.811,21,43.681,1921.964,813.405432089035,69591.6964978585,34114.5730803675
"1300:380:2",2017,"VL2440","OTB","MBS",134066.144285362,1107.51908800034,10818.513515173,9695.81514182038,9518.50054401192,51933.9125134803,2330.66656957133,63.5,0.423215748104041,1.47,12.811,32,59.851,3800.5385,1608.44774447571,103532.386427881,49267.8073448294
"1300:380:2",2018,"VL1824","OTB","MBS",110256.478665159,753.175555062758,9048.22434344554,11032.6900887036,6570.45777937937,35718.8541922798,4062.09371978534,50.1,0.502828358672181,1.47,12.811,21,43.681,2188.4181,1100.39868131149,83257.8833273815,43476.9354153163
"1300:380:2",2018,"VL2440","OTB","MBS",8459.54833396876,23.4369503587698,828.78969783174,497.786576192152,564.205626674096,3353.65524664203,155.626521105832,3.5,0.502828358672181,1.47,12.811,32,59.851,209.4785,105.33173033211,6486.87165329743,2977.58988554957
"1300:380:2",2019,"VL1824","OTB","MBS",26128.6769915357,414.300203755953,2528.78496814717,2328.41193900088,1482.00168290161,8893.62228306247,1224.04680450408,13.5,0.500663831533424,1.47,12.811,21,43.681,589.6935,295.238207140355,19908.5403981016,9790.87131053509
"1300:380:2",2019,"VL2440","OTB","MBS",47909.8732071248,1348.46070365077,3330.58915564886,5550.05712261529,2343.06202280984,18526.3840966391,1624.86022720505,21.5,0.500663831533424,1.47,12.811,32,59.851,1286.7965,644.252466093799,37390.3731436078,17239.1288197637
"1300:380:2",2020,"VL1824","OTB","MBS",24249.721847064,308.914325153374,2799.39897239264,2191.32597173532,1652.58796340929,9024.23934268186,1040.10147896582,12,0.335314196709714,1.47,12.811,21,43.681,524.172,175.762313117724,17739.5609515624,7675.22012991471
"1300:380:2",2020,"VL2440","OTB","MBS",27221.9099574809,778.90912659315,2591.85733704958,2108.05705306196,1844.18755354405,10988.6177763611,305.218803774559,13,0.335314196709714,1.47,12.811,32,59.851,778.063,260.89556983455,21195.8215705839,9901.98499044828
"1300:380:2",2021,"VL1824","OTB","MBS",115787.548568155,674.255065178898,9723.93941113578,13051.0700591697,6588.8092992608,40835.9026887996,6549.08907721971,56,0.49821880876196,1.47,12.811,21,43.681,2446.136,1218.71096398975,85879.2738997782,38494.2821337589
"1300:380:2",2021,"VL2440","OTB","MBS",325913.196431915,4693.84070638516,31371.5067416006,27079.4846123065,19568.5904951464,143553.532303807,9983.85974219382,115,0.49821880876196,1.47,12.811,32,59.851,6882.865,3429.17280116939,249158.282488077,95620.8904420761
"1300:380:2",2022,"VL1824","OTB","MBS",0,0,0,0,0,0,0,32,NA,1.47,12.811,21,43.681,1397.792,NA,NA,NA
"1300:380:2",2022,"VL2440","OTB","MBS",0,0,0,0,0,0,0,102,NA,1.47,12.811,32,59.851,6104.802,NA,NA,NA
"1300:380:3",2017,"VL1218","OTB","MBS",815705.829575226,0,98900.1738592021,74351.256550353,44356.4982915121,222486.281678329,71140.6149542768,603,0.423215748104041,1.47,12.811,15,34.861,21021.183,8896.49568937695,589201.405184782,295574.508552176
"1300:380:3",2017,"VL1824","OTB","MBS",8211567.68140868,12617.7952736009,760417.247130184,886571.95832291,377066.976725539,2842059.56729883,282184.928566943,3874.8,0.423215748104041,1.47,12.811,21,43.681,169255.1388,71631.4401876953,6128497.85431596,3004253.35845018
"1300:380:3",2017,"VL2440","OTB","MBS",2309737.98186119,19080.7225554704,186385.098985814,167042.862443331,163988.025120457,894735.437633818,40153.5311356068,1094,0.423215748104041,1.47,12.811,32,59.851,65476.994,27710.8949993138,1783691.82286775,848802.85409832
"1300:380:3",2018,"VL1218","OTB","MBS",885004.001707804,102.814372126048,50333.2255835813,94666.2527860428,42311.7666996889,280420.768118745,75683.0125530836,580.2,0.502828358672181,1.47,12.811,15,34.861,20226.3522,10170.3834786515,687625.187531965,331521.406860137
"1300:380:3",2018,"VL1824","OTB","MBS",10048304.5097255,68641.2029313582,824616.517559641,1005472.24902219,598803.456584197,3255263.79953155,370201.870562233,4565.9,0.502828358672181,1.47,12.811,21,43.681,199443.0779,100285.635508985,7587767.85398186,3962302.18388808
"1300:380:3",2018,"VL2440","OTB","MBS",4717285.85240195,13069.1131472032,462156.815216631,277580.01735835,314617.177594238,1870093.98424893,86781.7946406436,1951.7,0.502828358672181,1.47,12.811,32,59.851,116811.1967,58735.9823111943,3617264.97306874,1660389.19417917
"1300:380:3",2019,"VL1218","OTB","MBS",1016918.47852427,903.261966163491,88774.5069029146,97191.9697872435,30766.5345368044,327133.726995843,70516.9628954447,820,0.500663831533424,1.47,12.811,15,34.861,28586.02,14311.9863014911,786776.742961976,389126.053070688
"1300:380:3",2019,"VL1824","OTB","MBS",9111166.43982625,144468.0154949,881796.684263172,811925.866877529,516779.475722912,3101239.02944567,426829.654237256,4707.5,0.500663831533424,1.47,12.811,21,43.681,205628.3075,102950.656304683,6942181.77215285,3414113.08846992
"1300:380:3",2019,"VL2440","OTB","MBS",3695745.33553565,104019.631488595,256920.098355518,428128.825016626,180742.714643261,1429116.6522919,125340.962177655,1658.5,0.500663831533424,1.47,12.811,32,59.851,99262.8835,49697.3355821659,2884275.99342668,1329818.37895712
"1300:380:3",2020,"VL1218","OTB","MBS",646638.636489225,563.736666976763,48616.778238898,67461.8198244413,27545.9734050541,239997.21018732,51842.6798552737,383.5,0.335314196709714,1.47,12.811,15,34.861,13369.1935,4482.88037910923,499094.921308699,207255.031266105
"1300:380:3",2020,"VL1824","OTB","MBS",9261372.93542452,117979.529348159,1069137.12420629,836903.910705248,631150.886358731,3446507.40895925,397232.089841696,4583,0.335314196709714,1.47,12.811,21,43.681,200190.023,67126.5567515441,6775033.98675087,2931294.48794993
"1300:380:3",2020,"VL2440","OTB","MBS",2743130.92648461,78490.0735259251,261179.470118074,212427.287654705,185837.361164823,1107314.560541,30756.6640726671,1310,0.335314196709714,1.47,12.811,32,59.851,78404.81,26290.2458833277,2135886.63518961,997815.410575942
"1300:380:3",2021,"VL1218","OTB","MBS",614406.815846457,178.52094488189,45491.5211811024,60823.4660925197,29560.3657972441,200429.215757874,46813.9352644882,372,0.49821880876196,1.47,12.811,15,34.861,12968.292,6461.04699191726,472248.936728555,225005.785706193
"1300:380:3",2021,"VL1824","OTB","MBS",7495176.1349922,43645.9752013126,629451.435095843,844823.731508755,426507.744818221,2643395.48655176,423936.56973074,3625,0.49821880876196,1.47,12.811,21,43.681,158343.625,78889.7722225506,5559149.42654814,2491817.37026564
"1300:380:3",2021,"VL2440","OTB","MBS",1314988.8969079,18938.6268501106,126577.209809589,109259.833566176,78955.0086065038,579207.295556231,40282.7036554603,464,0.49821880876196,1.47,12.811,32,59.851,27770.864,13835.9667803704,1005299.50499537,385809.505783681
"1300:380:3",2022,"VL1218","OTB","MBS",0,0,0,0,0,0,0,346,NA,1.47,12.811,15,34.861,12061.906,NA,NA,NA
"1300:380:3",2022,"VL1824","OTB","MBS",0,0,0,0,0,0,0,3506.5,NA,1.47,12.811,21,43.681,153167.4265,NA,NA,NA
"1300:380:3",2022,"VL2440","OTB","MBS",0,0,0,0,0,0,0,400.5,NA,1.47,12.811,32,59.851,23970.3255,NA,NA,NA
"1300:380:4",2017,"VL1824","OTB","MBS",1547457.08706633,2377.80378568788,143299.440965846,167073.098990242,71057.6820493931,535581.680613607,53177.3084648451,730.2,0.423215748104041,1.47,12.811,21,43.681,31895.8662,13498.8328752594,1154905.83597128,566146.846892826
"1300:380:4",2017,"VL2440","OTB","MBS",1488239.76546065,12294.3339390778,120094.018532999,107631.182574318,105662.85092085,576507.32174413,25872.234092769,704.9,0.423215748104041,1.47,12.811,32,59.851,42188.9699,17855.0364579674,1149291.0109136,546911.455076697
"1300:380:4",2018,"VL1824","OTB","MBS",629628.314293451,4301.06838929052,51670.598496203,63003.0465943732,37521.1171792503,203975.333022181,23196.9064517083,286.1,0.502828358672181,1.47,12.811,21,43.681,12497.1341,6283.91342760914,475450.706985306,248278.467511417
"1300:380:4",2018,"VL2440","OTB","MBS",422977.416698438,1171.84751793849,41439.484891587,24889.3288096076,28210.2813337048,167682.762332102,7781.32605529161,175,0.502828358672181,1.47,12.811,32,59.851,10473.925,5266.58651660552,324343.582664871,148879.494277478
"1300:380:4",2019,"VL1218","OTB","MBS",1860.2167290078,1.65230847468931,162.392390676063,177.790188635202,56.2802461039105,598.415354260688,128.994444320935,1.5,0.500663831533424,1.47,12.811,15,34.861,52.2915,26.18046274663,1439.22574932069,711.815950739064
"1300:380:4",2019,"VL1824","OTB","MBS",298060.463459,4726.09121321605,28846.8803773826,26561.1436004545,16905.796975322,101453.17271049,13963.2005847132,154,0.500663831533424,1.47,12.811,21,43.681,6726.874,3367.90251108257,227104.831207974,111688.457912771
"1300:380:4",2019,"VL2440","OTB","MBS",454586.703918766,12794.6969090584,31601.8691977845,52661.0071169079,22231.8443094515,175785.22584718,15417.2784348758,204,0.500663831533424,1.47,12.811,32,59.851,12209.604,6112.90712014582,354773.773083535,163571.268801479
"1300:380:4",2020,"VL1218","OTB","MBS",7587.67630821777,6.61490222006632,570.47067033909,791.598928839598,323.225242041052,2816.13414822149,608.323492434763,4.5,0.335314196709714,1.47,12.811,15,34.861,156.8745,52.602246951738,5856.39412226635,2431.9364816101
"1300:380:4",2020,"VL1824","OTB","MBS",315246.384011832,4015.88622699386,36392.1866411043,28487.2376325592,21483.6435243208,117315.111454864,13521.3192265557,156,0.335314196709714,1.47,12.811,21,43.681,6814.236,2284.91007053041,230614.292370311,99777.8616888912
"1300:380:4",2020,"VL2440","OTB","MBS",438900.948237538,12558.411764148,41788.7152188918,33988.3660247528,29733.9777863718,177170.32968656,4921.06625162674,209.6,0.335314196709714,1.47,12.811,32,59.851,12544.7696,4206.43934133244,341741.861630337,159650.465692151
