"cscode","year","vessel_length","gear_type","supra_region","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","totfishdays","Energy_consumption","Energy_Costs","GVA","Gross_profit"
"1300:370:1",2014,"VL1824","OTB","MBS",2342.99682944973,6.53524997265069,213.805098566896,225.524016847172,136.996332786347,695.602946942348,110.199065091347,1,1117.49809839904,530.828578951828,1242.37805227014,436.576040236445
"1300:370:1",2014,"VL2440","OTB","MBS",2086906.9676092,16362.5863638297,110054.466160521,222043.42811535,151967.396886564,375769.636156693,5072.75103993875,118,357434.869375821,170437.278956508,1448766.98385409,1067924.59665746
"1300:370:1",2018,"VL1824","OTB","MBS",2818.97144764622,21.0257017991185,236.866667159373,274.101879676095,147.512776870376,883.170473072346,100.557799916733,1,1117.49809839904,530.828578951828,1650.68724678766,666.958973798585
"1300:370:1",2018,"VL2440","OTB","MBS",486568.545525372,1265.49833527209,53148.625271508,85027.9579912804,55537.2310310951,179269.382425048,1967.42393522908,43,130251.689687799,62108.4999587276,232011.729608033,50774.9232477553
"1300:370:1",2019,"VL1824","OTB","MBS",1346.09326554581,15.8267898586803,127.772793075715,131.735890620811,70.3546500197873,431.445330831195,47.4725648194248,0.5,558.749049199518,265.414289475914,766.642432212264,287.724536561644
"1300:370:1",2019,"VL2440","OTB","MBS",524014.454936553,6750.94589021721,46163.0941024381,96122.4703380031,53802.8601701181,188099.250988799,3627.31267003131,47,142368.125937827,67886.0348386093,266790.941377602,75064.3777187708
"1300:370:1",2023,"VL2440","OTB","MBS",14947.9056663883,510.388308434629,1696.84034579815,3129.18558597012,1538.28238285237,5388.81363830379,126.19037332591,1,3029.10906250695,1444.38371997041,7649.60194023187,2134.59792860217
"1300:370:1",2024,"VL2440","OTB","MBS",0,0,0,0,0,0,0,4,12116.4362500278,5777.53487988164,-5777.53487988164,-5777.53487988164
"1300:370:2",2018,"VL1824","OTB","MBS",1409.48572382311,10.5128508995593,118.433333579687,137.050939838047,73.7563884351881,441.585236536173,50.2788999583663,0.5,558.749049199518,265.414289475914,825.343623393832,333.479486899292
"1300:370:2",2019,"VL1824","OTB","MBS",1346.09326554581,15.8267898586803,127.772793075715,131.735890620811,70.3546500197873,431.445330831195,47.4725648194248,0.5,558.749049199518,265.414289475914,766.642432212264,287.724536561644
"1300:370:3",2014,"VL2440","OTB","MBS",17685.6522678746,138.66598613415,932.664967462039,1881.72396707924,1287.85929564885,3184.48844200587,42.9894155927013,1,3029.10906250695,1444.38371997041,12277.6863038482,9050.20844624966
"1300:370:3",2015,"VL1824","OTB","MBS",2148.13730864369,16.8718568093025,204.777789490718,217.199157824167,97.1147090644289,700.123478512148,76.7031581015789,1,1117.49809839904,530.828578951828,1115.08893012185,338.262293508121
"1300:370:3",2016,"VL1824","OTB","MBS",6084.80443112605,60.0816751936851,595.891981679092,670.996652536179,318.149075671198,1992.47801637188,178.120860497978,2,2234.99619679807,1061.65715790366,3498.19123852961,1327.59236165976
"1300:370:3",2016,"VL2440","OTB","MBS",44810.3790157846,335.098406685237,4330.45162674095,9300.7031457753,3035.74416155989,11776.8154261838,258.039641597029,4,12116.4362500278,5777.53487988164,22701.043608512,10666.1885407312
"1300:370:3",2017,"VL1824","OTB","MBS",275.097864958725,1.22577715359405,25.1555794995195,34.3168941006875,12.3501650577857,92.1456057075972,8.24365012887805,0.1,111.749809839904,53.0828578951828,151.418145559143,51.028889722668
"1300:370:3",2017,"VL2440","OTB","MBS",38547.8175910829,1406.77542227457,3734.32641699931,6642.77822718874,3934.23642967968,12531.8398838879,110.109657418509,3,9087.32718752086,4333.15115991123,21310.1007795785,8668.15123827206
"1300:370:3",2018,"VL1218","OTB","MBS",2276.04014570984,0.501711217291352,140.003540196984,257.078340169939,96.0066431517501,737.493470666456,136.254801776015,1,610.768567050232,233.892718007939,1549.56061540052,675.812342958051
"1300:370:3",2018,"VL1824","OTB","MBS",36646.6288194008,273.334123388541,3079.26667307185,3563.32443578923,1917.66609931489,11481.2161499405,1307.25139891752,13,14527.4752791875,6900.77152637376,21458.9342082396,8670.4666593816
"1300:370:3",2018,"VL2440","OTB","MBS",113155.475703575,294.301938435371,12360.1454119786,19773.9437189024,12915.6351235105,41690.5540523368,457.540450053275,10,30291.0906250695,14443.8371997041,53956.2161879146,11808.1216855245
"1300:370:3",2019,"VL1218","OTB","MBS",1087.94884266335,1.36531241142832,110.171904923335,95.4683517747681,29.6957502264656,377.151372409539,42.9945637132584,0.5,305.384283525116,116.94635900397,737.031789146237,316.88585302344
"1300:370:3",2019,"VL1824","OTB","MBS",13460.9326554581,158.267898586803,1277.72793075715,1317.35890620811,703.546500197873,4314.45330831195,474.725648194248,5,5587.49049199518,2654.14289475914,7666.42432212264,2877.24536561644
"1300:370:3",2019,"VL2440","OTB","MBS",117067.05908157,1508.19003930385,10313.031661183,21474.1689052986,12019.7879103455,42022.1730932424,810.357085858059,10.5,31805.645156323,15166.0290596893,59602.2315843578,16769.7014052573
"1300:370:3",2020,"VL1824","OTB","MBS",20983.0431783636,282.669500171174,2518.82346799041,1963.14834988018,1188.44709756933,7495.27033207805,824.117283122218,7.5,8381.23573799277,3981.21434213871,11614.0794209561,3294.69180575585
"1300:370:3",2020,"VL2440","OTB","MBS",366321.638543362,3828.26332959269,42348.0969195024,73581.7239469566,35772.4969115997,134871.415023155,774.745374512004,33,99960.5990627295,47664.6627590235,170782.921335873,35136.7609382058
"1300:370:3",2021,"VL1824","OTB","MBS",32532.3877555481,158.681013423272,2798.24451143339,3641.05654158516,1691.43737976391,11616.3588496121,1739.31026360877,12,13409.9771807884,6369.94294742193,18190.3873887669,4834.71827554603
"1300:370:3",2021,"VL2440","OTB","MBS",165775.668157035,1491.23237499865,15124.6742572399,25093.339280947,17774.7118906919,57675.2369332066,998.622673467077,11.5,34834.75421883,16610.4127796597,92663.7623234951,33989.9027168214
"1300:370:3",2022,"VL1824","OTB","MBS",28497.6981109946,236.896245919317,2463.62573467066,2216.44452959511,1017.72188250587,9565.99485885637,836.069906495118,9,10057.4828855913,4777.45721056645,18259.3449995758,7857.28023422431
"1300:370:3",2022,"VL2440","OTB","MBS",368173.84671311,3388.19274685196,38787.4086577713,69809.3659082376,17467.3230365369,123973.656996597,1704.50890329732,25,75727.7265626738,36109.5929992602,209388.348858156,83710.1829582614
"1300:370:3",2023,"VL1824","OTB","MBS",38073.6374862975,1064.07127197127,3571.18991116991,3968.49738045738,2369.85405783406,14133.9175203175,1191.41907767908,12,13409.9771807884,6369.94294742193,22858.2244613855,7532.88786338887
"1300:370:3",2023,"VL2440","OTB","MBS",119583.245331106,4083.10646747703,13574.7227663852,25033.484687761,12306.259062819,43110.5091064304,1009.52298660728,8,24232.8725000556,11555.0697597633,61196.815521855,17076.7834288173
"1300:370:3",2024,"VL1824","OTB","MBS",0,0,0,0,0,0,0,2,2234.99619679807,1061.65715790366,-1061.65715790366,-1061.65715790366
"1300:370:3",2024,"VL2440","OTB","MBS",0,0,0,0,0,0,0,4.5,13630.9907812813,6499.72673986684,-6499.72673986684,-6499.72673986684
"1300:370:4",2017,"VL2440","OTB","MBS",12849.2725303609,468.925140758189,1244.7754723331,2214.25940906291,1311.41214322656,4177.27996129597,36.7032191395028,1,3029.10906250695,1444.38371997041,7103.36692652615,2889.38374609068
"1300:370:4",2018,"VL1824","OTB","MBS",129672.686591726,967.182282759453,10895.8666893312,12608.6864651004,6785.58773603731,40625.8417613279,4625.6587961697,46,51404.9125263556,24418.1146317841,75931.6133522325,30680.1127947349
"1300:370:4",2018,"VL2440","OTB","MBS",22631.095140715,58.8603876870742,2472.02908239572,3954.78874378049,2583.1270247021,8338.11081046735,91.508090010655,2,6058.21812501391,2888.76743994082,10791.2432375829,2361.6243371049
"1300:370:4",2019,"VL1824","OTB","MBS",5384.37306218324,63.307159434721,511.091172302861,526.943562483245,281.418600079149,1725.78132332478,189.890259277699,2,2234.99619679807,1061.65715790366,3066.56972884905,1150.89814624657
"1300:370:4",2019,"VL2440","OTB","MBS",5574.62186102716,71.8185733001831,491.096745770618,1022.57947168088,572.370852873597,2001.05586158297,38.5884326599076,0.5,1514.55453125348,722.191859985205,2838.20150401704,798.557209774159
"1300:370:4",2021,"VL2440","OTB","MBS",14415.2754919161,129.672380434665,1315.18906584695,2182.02950269104,1545.62712092973,5015.23799419188,86.8367542145284,1,3029.10906250695,1444.38371997041,8057.71846291262,2955.64371450621
