"id","year","vssl_ln","ger_typ","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","day"
"1400:219:2",2021,"VL1824","OTB",613488.646667151,1839.89587846187,28440.0539260013,44875.8360529185,20766.3444406484,149946.884680526,9860.41050374355,134
"1400:219:2",2021,"VL2440","OTB",2879907.19763427,86667.5226954784,136702.740037472,186864.243724706,120173.47810642,703691.524031976,15917.7966475144,153
"1400:219:4",2021,"VL1824","OTB",54939.2817910882,164.766795086138,2546.87050083594,4018.73158682852,1859.67263647598,13428.0792251218,883.021836156139,12
"1400:219:4",2021,"VL2440","OTB",1675240.13457157,50414.4413065201,79519.8945316013,108698.808441169,69904.8336697477,409336.8996003,9259.37190607045,89
"1400:229:2",2021,"VL1824","OTB",412044.613433161,1235.75096314603,19101.5287562695,30140.4869012139,13947.5447735698,100710.594188413,6622.66377117104,90
"1400:229:2",2021,"VL2440","OTB",4084574.26069698,122920.604084437,193885.585543342,265029.679008244,170442.122543093,998046.148463652,22576.2213889583,217
"1400:229:4",2021,"VL1218","OTB",982272.17532125,41658.0431009643,66840.1226606251,71114.7200487975,41112.2782967352,227982.530268386,19518.193238062,79
"1400:229:4",2021,"VL1824","OTB",1158303.19109544,3473.83326306608,53696.5197259577,84728.2576223014,39208.0980857018,283108.67032965,18617.0437122919,253
"1400:229:4",2021,"VL2440","OTB",4479855.64076443,134816.146415189,212648.706724956,290677.712460654,186936.521498876,1094631.2596053,24761.0170072446,238
"1400:237:4",2021,"VL1218","OTB",4836757.92658185,205126.313497153,329124.148290926,350172.482265598,202438.939967468,1122597.52246079,96108.5717671662,389
"1400:237:4",2021,"VL1824","OTB",2495159.04801192,7483.1586101621,115670.368579632,182517.392901795,84460.1322399506,609858.598140946,40103.9083920913,545
"1400:238:3",2021,"VL1218","OTB",2685706.20087835,113900.472276054,182752.740439177,194440.247222029,112408.254583479,623344.639721157,53366.1992331823,216
"1400:238:3",2021,"VL1824","OTB",1094207.36233917,3281.60533546558,50725.1708083158,80039.7374376681,37038.4800098132,267442.577900342,17586.8515701098,239
"1400:238:3",2021,"VL2440","OTB",37645.8457207095,1132.90879340495,1786.96392205846,2442.66985261054,1570.89513864602,9198.58201348988,208.075773170122,2
"1400:238:4",2021,"VL1218","OTB",37301.4750121994,1581.95100383409,2538.23250609969,2700.55898919484,1561.22575810387,8657.56444057163,741.197211571976,3
"1400:239:1",2021,"VL1218","OTB",12433.8250040665,527.317001278029,846.077502033229,900.186329731614,520.408586034623,2885.85481352388,247.065737190659,1
"1400:239:1",2021,"VL1824","OTB",206022.306716581,617.875481573017,9550.76437813477,15070.243450607,6973.77238678491,50355.2970942066,3311.33188558552,45
"1400:239:2",2021,"VL1218","OTB",1106610.42536191,46931.2131137446,75300.8976809574,80116.5833461136,46316.3641570815,256841.078403625,21988.8506099686,89
"1400:239:2",2021,"VL1824","OTB",2714916.17517627,8142.22579050665,125857.850582976,198592.31924911,91898.8227858545,663570.915041433,43635.9957367158,593
"1400:239:2",2021,"VL2440","OTB",1336427.52308519,40218.2621658756,63437.2192330752,86714.7797676742,55766.7774219335,326549.661478891,7386.68994753934,71
"1400:239:3",2021,"VL1218","OTB",3493904.82614267,148176.077359126,237747.778071337,252952.358654583,146234.812675729,810925.202600209,69425.4721505751,281
"1400:239:3",2021,"VL1824","OTB",366261.878607254,1098.44530057425,16979.1366722396,26791.5439121902,12397.8175765065,89520.5281674784,5886.81224104092,80
"1400:239:3",2021,"VL2440","OTB",94114.6143017737,2832.27198351237,4467.40980514614,6106.67463152636,3927.23784661504,22996.4550337247,520.189432925306,5
"1400:239:4",2021,"VL1218","OTB",13901016.3545463,589540.407428837,945914.64727315,1006408.31663994,581816.799186709,3226385.68151969,276219.494179156,1118
"1400:239:4",2021,"VL1824","OTB",7297767.93124954,21886.522613942,338309.298194374,533821.512450389,247026.515211892,1783696.52373701,117294.73390274,1594
"1400:239:4",2021,"VL2440","OTB",1505833.82882838,45316.3517361979,71478.5568823382,97706.7941044217,62835.8055458406,367943.280539595,8323.0309268049,80
"1400:248:1",2021,"VL1218","OTB",3096022.42601255,131301.933318229,210673.298006274,224146.396103172,129581.737922621,718577.848567445,61519.368560474,249
"1400:248:1",2021,"VL1824","OTB",86987.1961692229,260.880758886385,4032.5449596569,6362.99167914516,2944.4816744203,21261.1254397761,1398.11790724722,19
"1400:248:1",2021,"VL2440","OTB",18822.9228603547,566.454396702473,893.481961029228,1221.33492630527,785.447569323008,4599.29100674494,104.037886585061,1
"1400:248:2",2021,"VL1218","OTB",944970.700309051,40076.0920971302,64301.8901545254,68414.1610596026,39551.0525386313,219324.965827815,18776.9960264901,76
"1400:248:2",2021,"VL1824","OTB",1634443.63328487,4901.8121538126,75769.3973998692,119557.264708149,55325.2609351603,399485.356947372,26269.8996256451,357
"1400:248:2",2021,"VL2440","OTB",37645.8457207095,1132.90879340495,1786.96392205846,2442.66985261054,1570.89513864602,9198.58201348988,208.075773170122,2
"1400:249:1",2021,"VL1218","OTB",12769538.2791763,541554.560312536,868921.594588126,924491.360634367,534459.617857558,2963772.89348902,253736.512094807,1027
"1400:249:1",2021,"VL1824","OTB",1057581.17447845,3171.76080540816,49027.2571410918,77360.5830464491,35798.6982521625,258490.525083594,16998.1703460057,231
"1400:249:1",2021,"VL2440","OTB",37645.8457207095,1132.90879340495,1786.96392205846,2442.66985261054,1570.89513864602,9198.58201348988,208.075773170122,2
"1400:249:2",2021,"VL1218","OTB",12906310.354221,547355.047326595,878228.447110491,934393.410261415,540184.112303939,2995517.29643778,256454.235203904,1038
"1400:249:2",2021,"VL1824","OTB",1240712.11378207,3720.98345569528,57516.8254772116,90756.3550025442,41997.6070404158,303250.789167333,19941.5764665261,271
"1400:249:2",2021,"VL2440","OTB",94114.6143017737,2832.27198351237,4467.40980514614,6106.67463152636,3927.23784661504,22996.4550337247,520.189432925306,5
"1401:110:1",2021,"VL1824","OTB",9156.54696518136,27.4611325143563,424.47841680599,669.788597804754,309.945439412663,2238.01320418696,147.170306026023,2
"1401:110:3",2021,"VL1218","OTB",62169.1250203323,2636.58500639015,4230.38751016614,4500.93164865807,2602.04293017312,14429.2740676194,1235.32868595329,5
"1401:110:3",2021,"VL1824","OTB",146504.751442902,439.378120229701,6791.65466889584,10716.6175648761,4959.1270306026,35808.2112669913,2354.72489641637,32
"1401:110:3",2021,"VL2440","OTB",3030490.58051711,91199.1578690982,143850.595725706,196634.923135149,126457.058661004,740485.852085936,16750.0997401949,161
"1401:110:4",2021,"VL1218","OTB",534654.475174858,22674.6310549553,36381.3325874288,38708.0121784594,22377.5691994888,124091.756981527,10623.8266991983,43
"1401:110:4",2021,"VL1824","OTB",155661.298408083,466.839252744058,7216.13308570182,11386.4061626808,5269.07247001527,38046.2244711783,2501.89520244239,34
"1401:111:2",2021,"VL1824","OTB",9156.54696518136,27.4611325143563,424.47841680599,669.788597804754,309.945439412663,2238.01320418696,147.170306026023,2
"1401:111:3",2021,"VL1218","OTB",870367.750284652,36912.1900894621,59225.425142326,63013.043081213,36428.6010224236,202009.836946671,17294.6016033461,70
"1401:111:3",2021,"VL1824","OTB",1396373.41219016,4187.82270843934,64732.9585629134,102142.761165225,47266.6795104311,341297.013638511,22443.4716689685,305
"1401:111:3",2021,"VL2440","OTB",207052.151463902,6230.99836372721,9828.30157132151,13434.684189358,8639.92326255309,50592.2010741944,1144.41675243567,11
"1401:111:4",2021,"VL1218","OTB",3842051.92625654,162940.953394911,261437.948128268,278157.575887069,160806.253084698,891729.137378878,76343.3127919135,309
