"vessel_name","MMSI","quarter","name_vreg","Gear","vlength","Place.of.registration.name","port","lon_port","lat_port"
"ANGELO PADRE II","247091080",1,"ANNA MADRE","OTB","VL1824","Palinuro","ANZIO",12.6333007810001,41.447875977
"ARCOBALENO","247096440",1,"ARCOBALENO","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"GIANNA","247096470",4,"GIANNA","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"IMPAVIDO I`","247088050",2,"IMPAVIDO I","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"LUEMA","247081850",2,"LUEMA","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"LUNA ROSSA 1","247067010",2,"LUNA ROSSA I","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"MARE AZZURRO","247092870",2,"MARE AZZURRO","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"N.PESCE VOLANTE","247091090",3,"NUOVO PESCE VOLANTE","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"PAOLA MADRE","247090910",2,"PAOLA MADRE","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"RAIMONDO SFERLAZZO","247250620",2,"RAIMONDO SFERLAZZO","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"RINASCITA","247090950",2,"RINASCITA","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"SAVERIO_P","247080330",1,"S.M. ARCANGELO","OTB","VL1824","Porto Santo Stefano","ANZIO",12.6333007810001,41.447875977
"STELLA MADRE","247096450",3,"STELLA MADRE","OTB","VL2440","Termoli","ANZIO",12.6333007810001,41.447875977
"STELLA ROSSA","247090850",2,"STELLA ROSSA","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"ANGELA MADRE","247068110",2,"ANGELA MADRE","OTB","VL1824","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"FRECCIA","247068070",3,"FRECCIA","OTB","VL1824","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"GIANNI RIVERA","247066180",1,"GIANNI RIVERA","OTB","VL2440","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"LEONE MARCO","247099830",2,"LEONE MARCO","OTB","VL1824","Civitavecchia","CIVITAVECCHIA",11.7891685,42.0920560000001
"MARETTO","247066290",2,"MARETTO","OTB","VL1824","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"MP LEDO","247222320",3,"LEDO","OTB","VL1218","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"PRIMO","247042630",3,"PRIMO","OTB","VL1218","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"TOMMASO DE SIMONE","247110830",2,"TOMMASO DE SIMONE","OTB","VL1824","Civitavecchia","CIVITAVECCHIA",11.7891685,42.0920560000001
