"upload_date","country_name","country_code","year","supra_reg","fishing_tech","vessel_length","geo_indicator","cluster_name","fs_name","variable_group","variable_name","variable_code","value","unit","fromtable","framework","template_name","gear","fishery","activity"
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Income","Operating subsidies","totdirsub",91465.47,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Income","Operating subsidies","totdirsub",1183391.04,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Income","Operating subsidies","totdirsub",2807348.65,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Income","Operating subsidies","totdirsub",2050250.66,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Income","Operating subsidies","totdirsub",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Income","Gross value of landings","totlandginc",4623288,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Income","Gross value of landings","totlandginc",75348160.21,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Income","Gross value of landings","totlandginc",125966616.6,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Income","Gross value of landings","totlandginc",107017931.81,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Income","Gross value of landings","totlandginc",7776641.83,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Income","Income from leasing out quota","totrightsinc",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Income","Other income","tototherinc",38473.42,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Income","Other income","tototherinc",2267516.95,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Income","Other income","tototherinc",377782.8,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Income","Other income","tototherinc",4538617.43,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Income","Other income","tototherinc",580161.15,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Consumption of fixed capital","totdepcost",994802.19,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Consumption of fixed capital","totdepcost",21984199.4,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Consumption of fixed capital","totdepcost",28472086.05,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Consumption of fixed capital","totdepcost",16066411.86,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Consumption of fixed capital","totdepcost",1619874.49,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Other variable costs","totvarcost",455953.65,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Other variable costs","totvarcost",4889003.71,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Other variable costs","totvarcost",9214281.74,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Other variable costs","totvarcost",7747903.74,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Other variable costs","totvarcost",2936668.58,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Other non-variable costs","totnovarcost",184188.06,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Other non-variable costs","totnovarcost",3144146.62,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Other non-variable costs","totnovarcost",4263919.41,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Other non-variable costs","totnovarcost",4479156.7,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Other non-variable costs","totnovarcost",326296.51,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Lease/rental payments for quota","totrightscost",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Lease/rental payments for quota","totrightscost",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Lease/rental payments for quota","totrightscost",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Lease/rental payments for quota","totrightscost",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Lease/rental payments for quota","totrightscost",162000,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Repair & maintenance costs","totrepcost",443018.25,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Repair & maintenance costs","totrepcost",3576608.29,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Repair & maintenance costs","totrepcost",5839549.58,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Repair & maintenance costs","totrepcost",7282189.06,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Repair & maintenance costs","totrepcost",815741.27,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Energy costs","totenercost",1297419.33,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Energy costs","totenercost",22708422.19,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Energy costs","totenercost",42645304.07,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Energy costs","totenercost",35956982.14,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Energy costs","totenercost",2495039.4,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Personnel costs","totcrewwage",1078544.21,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Personnel costs","totcrewwage",18410961.9,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Personnel costs","totcrewwage",30788347.65,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Personnel costs","totcrewwage",24838552.38,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Personnel costs","totcrewwage",864000,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Expenditure","Value of unpaid labour","totunpaidlab",302079.38,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Expenditure","Value of unpaid labour","totunpaidlab",416463.66,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Expenditure","Value of unpaid labour","totunpaidlab",2024621.9,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Expenditure","Value of unpaid labour","totunpaidlab",2126494.8,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Expenditure","Value of unpaid labour","totunpaidlab",0,"euro","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Employment","Engaged crew","totjob",262.4,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Employment","Engaged crew","totjob",997.21,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Employment","Engaged crew","totjob",2038.2,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Employment","Engaged crew","totjob",2725.39,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Employment","Engaged crew","totjob",48,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Employment","Total hours worked per year (engaged crew)","hrworked",321787.38,"hour","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Employment","Total hours worked per year (engaged crew)","hrworked",3253629.81,"hour","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Employment","Total hours worked per year (engaged crew)","hrworked",4324701.12,"hour","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Employment","Total hours worked per year (engaged crew)","hrworked",4239842.47,"hour","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Employment","Total hours worked per year (engaged crew)","hrworked",107352,"hour","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Employment","Unpaid labour","unpaidemp",56.74,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Employment","Unpaid labour","unpaidemp",21.72,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Employment","Unpaid labour","unpaidemp",92.15,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Employment","Unpaid labour","unpaidemp",129.27,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Employment","Unpaid labour","unpaidemp",0,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Employment","FTE national","totnatfte",196.09,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Employment","FTE national","totnatfte",974.7,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Employment","FTE national","totnatfte",1987.37,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Employment","FTE national","totnatfte",2543.43,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Employment","FTE national","totnatfte",48,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","Fishing days","totfishdays",11860,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","Fishing days","totfishdays",26965,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","Fishing days","totfishdays",82788,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","Fishing days","totfishdays",129944,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","Fishing days","totfishdays",639,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","Days at sea","totseadays",11692,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","Days at sea","totseadays",26984,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","Days at sea","totseadays",82788,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","Days at sea","totseadays",129944,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","Days at sea","totseadays",639,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","kW fishing days","totkwfishdays",963446.26,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","kW fishing days","totkwfishdays",11670624.45,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","kW fishing days","totkwfishdays",22566018.99,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","kW fishing days","totkwfishdays",18916041,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","kW fishing days","totkwfishdays",912260.5,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","GT fishing days","totgtfishdays",77831.72,"GTday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","GT fishing days","totgtfishdays",3620562.78,"GTday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","GT fishing days","totgtfishdays",4876264.79,"GTday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","GT fishing days","totgtfishdays",2528641.44,"GTday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","GT fishing days","totgtfishdays",349099,"GTday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","Maximum days at sea","maxseadays",221,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","Maximum days at sea","maxseadays",221,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","Maximum days at sea","maxseadays",235,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","Maximum days at sea","maxseadays",209,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","Maximum days at sea","maxseadays",257,"day","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","Number of fishing trips","tottrips",10959,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","Number of fishing trips","tottrips",11183,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","Number of fishing trips","tottrips",63551,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","Number of fishing trips","tottrips",111480,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","Number of fishing trips","tottrips",34,"number","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","Energy consumption","totenercons",1837004.8,"litre","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","Energy consumption","totenercons",39367754.53,"litre","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","Energy consumption","totenercons",75684282.6,"litre","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","Energy consumption","totenercons",56162884.68,"litre","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","Energy consumption","totenercons",3564342,"litre","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","kW days at sea","kwseadays",NA,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","kW days at sea","kwseadays",NA,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1824","NGI",NA,"ITA MBS DTS1824 NGI","Effort","kW days at sea","kwseadays",NA,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL1218","NGI",NA,"ITA MBS DTS1218 NGI","Effort","kW days at sea","kwseadays",NA,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"OFR","DTS","VL40XX","IWE",NA,"ITA OFR DTS40XX IWE","Effort","kW days at sea","kwseadays",NA,"kWday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL0612","NGI",NA,"ITA MBS DTS0612 NGI","Effort","GT days at sea","gtseadays",76882.05,"GTday","map_fs","map","map_fs",NA,NA,NA
45390,"Italy","ITA",2021,"MBS","DTS","VL2440","NGI",NA,"ITA MBS DTS2440 NGI","Effort","GT days at sea","gtseadays",3623507.78,"GTday","map_fs","map","map_fs",NA,NA,NA
