"id","vssl_ln","day","tot_day","effort_share","Fishing.days_AER","Energy.costs_AER","Gross.value.of.landings_AER"
"11F9","VL1824",134,51598,0.00259699988371642,215.000426373115,110749.849702791,327135.288662611
"11F9","VL2440",153,7149,0.0214015946286194,577.093999160722,485996.446329543,1612570.78075392
"11G0","VL1824",4,51598,7.75223845885499e-05,6.41792317531687,3305.96566276987,9765.23249739137
"11G1","VL1824",4,51598,7.75223845885499e-05,6.41792317531687,3305.96566276987,9765.23249739137
"11G2","VL1218",14,16385,0.000854440036618859,111.029356118401,30723.0851323894,91440.4055703387
"11G2","VL1824",5328,51598,0.103259816271949,8548.67366952208,4403546.26280947,13007289.6865253
"11G2","VL2440",1186,7149,0.165897328297664,4473.42145754651,3767266.57089436,12500058.4704193
"12F9","VL1824",12,51598,0.00023256715376565,19.2537695259506,9917.89698830963,29295.6974921741
"12F9","VL2440",89,7149,0.0124492936074976,335.695202126172,282703.815185159,938031.369196727
"12G0","VL1218",96,16385,0.00585901739395789,761.344156240464,210672.583764956,627019.923910894
"12G0","VL1824",132,51598,0.00255823869142215,211.791464785457,109096.866871406,322252.672413915
"12G0","VL2440",322,7149,0.0450412645125192,1214.53769758008,1022816.05044518,3393776.41439715
"12G1","VL1218",758,16385,0.0462618248397925,6011.446566982,1663435.6093108,4950844.81587977
"12G1","VL1824",6508,51598,0.126128919725571,10441.9610062406,5378806.13332659,15888033.2732558
"12G1","VL2440",584,7149,0.0816897468177367,2202.76402294027,1855045.2591925,6155172.13045942
"12G2","VL1218",830,16385,0.0506560878852609,6582.45468416234,1821440.04713451,5421109.75881294
"12G2","VL1824",8358,51598,0.161983022597775,13410.2504748246,6907815.25235765,20404453.3032993
"12G2","VL2440",616,7149,0.0861658973282977,2323.46342145755,1956691.57476469,6492441.83623802
"13F9","VL1824",90,51598,0.00174425365324237,144.40327144463,74384.2274123222,219717.731191306
"13F9","VL2440",217,7149,0.0303538956497412,818.492796195272,689289.077473926,2287110.19231112
"13G0","VL1218",960,16385,0.0585901739395789,7613.44156240464,2106725.83764956,6270199.23910894
"13G0","VL1824",4826,51598,0.0935307570060855,7743.22431101981,3988647.57213185,11781753.0081027
"13G0","VL2440",1034,7149,0.1446356133725,3900.09931458945,3284446.57192645,10898027.367971
"13G1","VL1218",930,16385,0.056759231003967,7375.52151357949,2040890.65522301,6074255.51288679
"13G1","VL1824",10340,51598,0.200395364161402,16590.3314081941,8545921.23826013,25243126.0057567
"13G1","VL2440",1586,7149,0.221849209679675,5982.16393901245,5037845.51554676,16715929.7926518
"14F9","VL1218",79,16385,0.00482148306377785,626.522795239548,173365.980389912,515985.14571834
"14F9","VL1824",253,51598,0.00490329082522578,405.933640838792,209102.328170195,617650.955460004
"14F9","VL2440",238,7149,0.0332913694222968,897.701776472234,755994.472068177,2508443.43672833
"14G0","VL1218",2844,16385,0.173573390296002,22554.8206286237,6241175.29403681,18575465.2458602
"14G0","VL1824",5062,51598,0.09810457769681,8121.8817783635,4183699.54623528,12357901.7254488
"14G0","VL2440",620,7149,0.0867254161421178,2338.55084627221,1969397.36421122,6534600.54946034
"14G1","VL1218",183,16385,0.0111687519072322,1451.31229783338,401594.612801947,1195256.72995514
"14G1","VL1824",893,51598,0.0173068723593938,1432.80134888949,738056.834213375,2180088.15504262
"14G1","VL2440",57,7149,0.00797314309693663,214.995803608896,181057.499612967,600761.663418128
"15F9","VL1218",180,16385,0.010985657613671,1427.52029295087,395011.094559292,1175662.35733293
"15F9","VL1824",1276,51598,0.0247296406837474,2047.31749292608,1054603.04642359,3115109.16666785
"15F9","VL2440",142,7149,0.0198629178906141,535.603580920408,451055.525351602,1496634.31939253
"15G0","VL1218",928,16385,0.0566371681415929,7359.66017699115,2036501.64306124,6061192.59780531
"15G0","VL1824",748,51598,0.0144966859180588,1200.15163378426,618215.578937967,1826098.47701219
"15G0","VL2440",8,7149,0.00111903762764023,30.1748496293188,25411.578893048,84317.4264446496
"16F7","VL1218",389,16385,0.0237412267317669,3085.02996643271,853662.865464248,2540736.98334727
"16F7","VL1824",545,51598,0.0105624249001899,874.442032636924,450437.821552395,1330512.92776957
"16F8","VL1218",438,16385,0.0267317668599329,3473.63271284712,961193.663427611,2860778.40284345
"16F8","VL1824",478,51598,0.00926392495833172,766.941819450366,395062.896701,1166945.28343827
"16F8","VL2440",4,7149,0.000559518813820115,15.0874248146594,12705.789446524,42158.7132223248
"16F9","VL1218",2798,16385,0.170765944461398,22190.0098870919,6140228.01431611,18275018.1989863
"16F9","VL1824",3348,51598,0.0648862359006163,5371.80169774022,2767093.25973839,8173499.60031658
"16F9","VL2440",170,7149,0.0237795495873549,641.215554623024,539996.05147727,1791745.3119488
"16G0","VL1218",178,16385,0.0108635947512969,1411.65895636253,390622.082397522,1162599.44225145
"16G0","VL1824",1503,51598,0.0291290360091476,2411.53463312531,1242216.59778578,3669286.11089481
"16G0","VL2440",103,7149,0.014407609455868,388.501188977479,327174.078247993,1085586.86547486
"17F8","VL1218",650,16385,0.0396704302715899,5154.93439121147,1426428.95257522,4245447.40148001
"17F8","VL1824",752,51598,0.0145742083026474,1206.56955695957,621521.544600736,1835863.70950958
"17F8","VL2440",6,7149,0.000839278220730172,22.6311372219891,19058.684169786,63238.0698334872
"17F9","VL1218",4130,16385,0.252059810802563,32753.6600549283,9063310.11405487,26974919.6432499
"17F9","VL1824",1004,51598,0.019458118531726,1610.89871700454,829797.381355238,2451073.35684523
"17F9","VL2440",14,7149,0.0019583158483704,52.8059868513079,44470.263062834,147555.496278137
