"","year","quarter","vlength","fishing_tech","gear","mesh_size_range","target_assemblage","metier","supra_region","sub_region","specon_tech","species","deep","rectangle_type","id","cscode.x","tot_fish_weight","tot_fish_value","rectangle_lon","rectangle_lat","n_csq","s_csq","w_csq","e_csq","cscode.y","csq_x","csq_y","s_ices","w_ices","n_ices","e_ices","ices_x","ices_y","type","areakm2","F_AREA","F_SUBAREA","F_DIVISION","SECT_COD","TSECT_COD","SMU_NAME","SMU_NAME_F","F_GSA","F_GSA_LIB","CENTER_X","CENTER_Y","SMU_CODE","tot_fish_day","LPUE"
"1",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"AES",NA,"05*05","11F9","1400:219:2",0.482,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.0241
"2",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"ARA",NA,"05*05","11F9","1400:219:2",0.002,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,1e-04
"3",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"ARS",NA,"05*05","11F9","1400:219:2",0.486,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.0243
"4",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"DPS",NA,"05*05","11F9","1400:219:2",0.567,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.02835
"5",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"GRE",NA,"05*05","11F9","1400:219:2",0.584,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.0292
"6",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"HKE",NA,"05*05","11F9","1400:219:2",0.389,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.01945
"7",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"MON",NA,"05*05","11F9","1400:219:2",0.479,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.02395
"8",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"MSF",NA,"05*05","11F9","1400:219:2",0.225,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.01125
"9",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"NEP",NA,"05*05","11F9","1400:219:2",0.613,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.03065
"10",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"OCC",NA,"05*05","11F9","1400:219:2",0.567,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.02835
"11",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"SQE",NA,"05*05","11F9","1400:219:2",0.543,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.02715
"12",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"SQR",NA,"05*05","11F9","1400:219:2",0.272,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.0136
"13",2021,"1","VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"WHG",NA,"05*05","11F9","1400:219:2",0.172,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,20,0.0086
"14",2021,"1","VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"MSF",NA,"05*05","11F9","1400:219:2",0.033,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,43,0.000767441860465116
"15",2021,"1","VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"MUR",NA,"05*05","11F9","1400:219:2",0.062,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,43,0.00144186046511628
"16",2021,"1","VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"MUT",NA,"05*05","11F9","1400:219:2",0.05,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,43,0.00116279069767442
"17",2021,"1","VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"NEP",NA,"05*05","11F9","1400:219:2",20.892,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,43,0.485860465116279
"18",2021,"1","VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"OCC",NA,"05*05","11F9","1400:219:2",0.01,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,43,0.000232558139534884
"19",2021,"1","VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"SQE",NA,"05*05","11F9","1400:219:2",0.072,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,43,0.00167441860465116
"20",2021,"1","VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9",NA,"AES",NA,"05*05","11F9","1400:219:2",1.247,0,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,37,37.1,"37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9,43,0.029
