"Country","CFR","UVI","Event","Event.Start.Date","Event.End.Date","Registration.Number","External.marking","vessel_name","Place.of.registration","Place.of.registration.name","IRCS","IRCS.indicator","Licence.indicator","VMS.indicator","ERS.indicator","ERS.Exempt.indicator","AIS.indicator","MMSI","Vessel.Type","Gear","Subsidiary.fishing.gear.1","Subsidiary.fishing.gear.2","Subsidiary.fishing.gear.3","Subsidiary.fishing.gear.4","Subsidiary.fishing.gear.5","LOA","LBP","Tonnage.GT","Other.tonnage","GTs","Power.of.main.engine","Power.of.auxiliary.engine","Hull.material","Date.of.entry.into.service","Segment","Country.of.importation.exportation","Type.of.export","Public.aid","Year.of.construction","vlength"
"ITA","ITA000000017",NA,"MOD","2003-01-01","2100-12-31","00AN01244","00AN01244","LUIGI GIACOMO ASSUNTA","00187","Ancona","I.P.V.L","Y","Y","N","","","","","FX","OTB","PS","","","","",9.05,7.54,4,6.13,0,47,"0.00","1","1959-08-28","MFL","","","","1952-01-01","VL0612"
"ITA","ITA000000019",NA,"MOD","2022-01-20","2100-12-31","07AN00853","07AN00853","PROVVEDITORE","00189","Civitanova Marche","INXD","Y","Y","Y","Y","","Y","247081490","FX","OTB","NO","","","","",18.06,16.22,40,30.27,0,198.53,"0.00","1","1960-09-19","MFL","","","","1960-01-01","VL1824"
"ITA","ITA000000078",NA,"MOD","2024-11-27","2100-12-31","00TM00290","00TM00290","PANDORA","00174","Termoli","IMXL","Y","Y","Y","Y","","Y","247081020","FX","OTB","NO","","","","",19.18,15.9,51,41.27,0,205.89,"0.00","1","1978-11-29","MFL","","","","1977-01-01","VL1824"
"ITA","ITA000000089",NA,"MOD","2024-01-16","2100-12-31","00AN03470","00AN03470","CASTAGNA'","00187","Ancona","IPJO","Y","Y","Y","Y","","Y","247083220","FX","OTB","NO","","","","",23.9,18.8,76,70.77,0,480,"0.00","1","1979-09-01","MFL","","","","1978-01-01","VL1824"
"ITA","ITA000000091",NA,"MOD","2016-03-29","2100-12-31","00RO08259","00RO08259","ANGELA","00072","Roma","IJET","Y","Y","Y","","","","","FX","OTB","NO","","","","",17.06,15.18,39,27.21,0,206,"0.00","1","1979-09-27","MFL","","","","1976-01-01","VL1218"
"ITA","ITA000000095",NA,"MOD","2016-07-11","2100-12-31","07AN00760","07AN00760","FRAELEMA","00189","Civitanova Marche","IQKI","Y","Y","Y","Y","","Y","247081290","FX","OTB","NO","","","","",18.73,16.51,40,34.31,0,183.8,"0.00","1","1980-01-21","MFL","","","","1978-01-01","VL1824"
"ITA","ITA000000101",NA,"MOD","2007-02-28","2100-12-31","07AN00739","07AN00739","AMBRA TERZA","00189","Civitanova Marche","IIBU2","Y","Y","N","","","","","FX","OTB","GNS","","","","",8.47,7.47,3,5.14,0,63,"0.00","1","1980-07-05","MFL","","","","1980-01-01","VL0612"
"ITA","ITA000000110",NA,"MOD","2014-12-16","2100-12-31","09SA00343","09SA00343","DELFINO","00111","Acciaroli","IQGJ","Y","Y","N","","","","","FX","OTB","LLS","","","","",8.92,7.54,4,3.99,0,61,"0.00","1","1981-02-03","MFL","","","","1980-01-01","VL0612"
"ITA","ITA000000122",NA,"MOD","2011-09-28","2100-12-31","00OR00097","00OR00097","MAMMA SERAFINA","00173","Ortona","IOEZ","Y","Y","Y","","","","","FX","OTB","NO","","","","",22.33,18.18,79,70.85,0,129,"0.00","1","1981-07-02","MFL","","","","1962-01-01","VL1824"
"ITA","ITA000000137",NA,"MOD","2023-12-01","2100-12-31","00PE01256","00PE01256","ANGELA SACCO II","00268","Porto Empedocle","IJTX","Y","Y","Y","Y","","Y","247300220","FX","OTB","NO","","","","",23.91,19.82,99,76.05,0,180,"0.00","1","1965-12-18","MFL","","","","1964-01-01","VL1824"
"ITA","ITA000000166",NA,"MOD","2013-09-17","2100-12-31","04SA00682","04SA00682","PEPPINELLO","00107","Cetara","IRZY","Y","Y","Y","","","","","FX","OTB","PTM","","","","",23.8,19.53,93,71.78,0,480,"0.00","1","1964-11-26","MFL","","","","1963-01-01","VL1824"
