"port","vessel_name","MMSI","quarter","lat","lon","name_vreg","Gear","vlength"
"ANZIO","ANGELO PADRE II","247091080","1",41.4453390569942,12.6379987763435,"ANNA MADRE","OTB","VL1824"
"ANZIO","ARCOBALENO","247096440","1",41.44604774812,12.6400850552833,"ARCOBALENO","OTB","VL1824"
"ANZIO","GIANNA","247096470","4",41.44604774812,12.6400850552833,"GIANNA","OTB","VL1824"
"ANZIO","IMPAVIDO I`","247088050","2",41.44604774812,12.6400850552833,"IMPAVIDO I","OTB","VL1824"
"ANZIO","LUEMA","247081850","2",41.44604774812,12.6400850552833,"LUEMA","OTB","VL1824"
"ANZIO","LUNA ROSSA 1","247067010","2",41.44604774812,12.6400850552833,"LUNA ROSSA I","OTB","VL1824"
"ANZIO","MARE AZZURRO","247092870","2",41.44604774812,12.6400850552833,"MARE AZZURRO","OTB","VL1824"
"ANZIO","N.PESCE VOLANTE","247091090","3",41.44604774812,12.6400850552833,"NUOVO PESCE VOLANTE","OTB","VL1824"
"ANZIO","PAOLA MADRE","247090910","2",41.44604774812,12.6400850552833,"PAOLA MADRE","OTB","VL1824"
"ANZIO","RAIMONDO SFERLAZZO","247250620","2",41.4461188551632,12.6415286591739,"RAIMONDO SFERLAZZO","OTB","VL1824"
"ANZIO","RINASCITA","247090950","2",41.44604774812,12.6400850552833,"RINASCITA","OTB","VL1824"
"ANZIO","SAVERIO_P","247080330","1",41.44604774812,12.6400850552833,"S.M. ARCANGELO","OTB","VL1824"
"ANZIO","STELLA MADRE","247096450","3",41.44604774812,12.6400850552833,"STELLA MADRE","OTB","VL2440"
"ANZIO","STELLA ROSSA","247090850","2",41.44604774812,12.6400850552833,"STELLA ROSSA","OTB","VL1824"
"CALA GALERA","ANGELA MADRE","247068110","2",42.3933333814012,11.2158824440124,"ANGELA MADRE","OTB","VL1824"
"CALA GALERA","FRECCIA","247068070","3",42.3933333814012,11.2158824440124,"FRECCIA","OTB","VL1824"
"CALA GALERA","GIANNI RIVERA","247066180","1",42.4008018709302,11.2090378396429,"GIANNI RIVERA","OTB","VL2440"
"CALA GALERA","LEONE MARCO","247099830","2",42.4008018709302,11.2090378396429,"LEONE MARCO","OTB","VL1824"
"CALA GALERA","MARETTO","247066290","2",42.3933333814012,11.2158824440124,"MARETTO","OTB","VL1824"
"CALA GALERA","MP LEDO","247222320","3",42.3933333814012,11.2158824440124,"LEDO","OTB","VL1218"
"CALA GALERA","PRIMO","247042630","3",42.3933333814012,11.2158824440124,"PRIMO","OTB","VL1218"
"CALA GALERA","TOMMASO DE SIMONE","247110830","2",42.3933333814012,11.2158824440124,"TOMMASO DE SIMONE","OTB","VL1824"
"CAMOGLI","ARINA MADRE","247045120","3",44.3463009013314,9.14828300326812,"ARINA MADRE","OTB","VL1218"
"CAMOGLI","JAZZ","247200190","4",44.3463009013314,9.14828300326812,"JAZZ","OTB","VL1218"
"CHIAVARI","ARDITO","247044930","2",44.3122323205943,9.31963210442198,"ARDITO","OTB","VL1824"
"CHIAVARI","JAZZ","247200190","4",44.3122323205943,9.31963210442198,"JAZZ","OTB","VL1218"
"CIVITAVECCHIA","CRESCENZO 1","247128190","3",42.0923931203533,11.7591792234305,"CRESCENZO I","OTB","VL1824"
"CIVITAVECCHIA","DESTRIERO I","247122360","3",42.0870058501233,11.7560300541042,"DESTRIERO I","OTB","VL1824"
"CIVITAVECCHIA","FORTUNATA","247099810","2",42.0923931203533,11.7591792234305,"FORTUNATA","OTB","VL1824"
"CIVITAVECCHIA","LA FENICE","247099820","2",42.0871842441641,11.7617138502873,"LA FENICE","OTB","VL1824"
"CIVITAVECCHIA","LEONE MARCO","247099830","2",42.0890653752972,11.7641062067629,"LEONE MARCO","OTB","VL1824"
"CIVITAVECCHIA","LIDA ASSUNTA","247094280","2",42.0890653752972,11.7641062067629,"LIDA ASSUNTA","OTB","VL1824"
"CIVITAVECCHIA","M/P SS. TRINITA","247094260","1",42.0787879676793,11.7500577021525,"SS. TRINITA'","OTB","VL2440"
"CIVITAVECCHIA","MARIA ROSA","247111950","1",42.0870058501233,11.7560300541042,"MARIA ROSA","OTB","VL1824"
"CIVITAVECCHIA","OSCAR","247094340","2",42.089848791217,11.7689165644743,"OSCAR","OTB","VL1824"
"CIVITAVECCHIA","S. FERMINA","247094310","2",42.0886210428993,11.7631215797976,"SANTA FERMINA","OTB","VL1824"
"CIVITAVECCHIA","SS ANNUNZIATA","247099790","3",42.0929632864464,11.7650103116922,"SS. ANNUNZIATA","OTB","VL2440"
"CIVITAVECCHIA","TOMMASO DE SIMONE","247110830","2",42.0929632864464,11.7650103116922,"TOMMASO DE SIMONE","OTB","VL1824"
"CIVITAVECCHIA","VINCENZO PADRE","247094330","3",42.0929632864464,11.7650103116922,"VINCENZO PADRE","OTB","VL1824"
"FIUMICINO","AGOSTINO IMPERATO","247092790","2",41.7711940938328,12.2237002956995,"AGOSTINO IMPERATO","OTB","VL1824"
"FIUMICINO","ANTONIO FRANCESCA M.","247093030","2",41.7601252429848,12.2282219075694,"ANTONIO FRANCESCA MADRE","OTB","VL1824"
"FIUMICINO","BISMARK","247092770","2",41.7601252429848,12.2282219075694,"BISMARCK","OTB","VL1824"
"FIUMICINO","GIACOMO","247093040","2",41.7711940938328,12.2237002956995,"GIACOMO","OTB","VL1824"
"FIUMICINO","IMPERO ROMANO","247094320","4",41.7711940938328,12.2237002956995,"IMPERO ROMANO","OTB","VL1824"
"FIUMICINO","JAMAICA","247092810","3",41.7546423514836,12.2304191277109,"JAMAICA","OTB","VL1824"
"FIUMICINO","L ALBA","247119090","2",41.771297903227,12.2211568068975,"L'ALBA","OTB","VL1824"
"FIUMICINO","M/P SS. TRINITA","247094260","1",41.7715047804669,12.2184861465085,"SS. TRINITA'","OTB","VL2440"
"FIUMICINO","MARIA","247093060","1",41.771297903227,12.2211568068975,"MARIA","OTB","VL1824"
"FIUMICINO","MARIAMADRE","247092830","2",41.7601252429848,12.2282219075694,"MARIA MADRE","OTB","VL1824"
"FIUMICINO","MARIANNA","247093010","2",41.7711940938328,12.2237002956995,"MARIANNA","OTB","VL1824"
"FIUMICINO","MP CLAUDIO PADRE","247123920","2",41.7546423514836,12.2304191277109,"CLAUDIO PADRE","OTB","VL1824"
"FIUMICINO","MP FRANCESCO PADRE","247099360","1",41.7715047804669,12.2184861465085,"FRANCESCO PADRE","OTB","VL1824"
"FIUMICINO","MP NUOVA LUCIA","247892860","2",41.7715047804669,12.2184861465085,"NUOVA LUCIA","OTB","VL1824"
"FIUMICINO","M\P S. PIETRO I","247149790","4",41.7712456277557,12.2236367099061,"SAN PIETRO I","OTB","VL1218"
"FIUMICINO","NONNO CIRO","247092850","2",41.7461510869944,12.2382817035623,"NONNO CIRO","OTB","VL1824"
"FIUMICINO","S.VINCENZO","247092920","1",41.771297903227,12.2211568068975,"SAN VINCENZO","OTB","VL1824"
"FIUMICINO","SAN.PIETRO I","247149790","3",41.771297903227,12.2211568068975,"SAN PIETRO I","OTB","VL1218"
"GENOA","ARDITO","247044930","2",44.3581810609495,9.04919960233327,"ARDITO","OTB","VL1824"
"GENOA","JAZZ","247200190","4",44.3764611196628,8.96792842168776,"JAZZ","OTB","VL1218"
"GIGLIO PORTO","FURORE","247101230","2",42.3448331102186,10.9268146233272,"FURORE","OTB","VL1824"
"ITA-110","CESARINA","247220290","2",42.8159292743678,10.4310569191478,"CESARINA","OTB","VL1218"
"ITA-110","MISS MARY","247066930","3",42.8159292743678,10.4310569191478,"MISS MARY","OTB","VL1218"
"ITA-115","FRANCESCO GIACALONE","247147190","4",42.8213236024665,10.2685620858904,"FRANCESCO GIACALONE","OTB","VL2440"
"ITA-115","LIBERA","247096930","4",42.8213236024665,10.2685620858904,"LIBERA","OTB","VL1824"
"ITA-115","NUOVA MAREA","247220130","2",42.8213236024665,10.2685620858904,"NUOVA MAREA","OTB","VL2440"
"ITA-167","NUOVA MAREA","247220130","2",42.8644198817061,10.424691532509,"NUOVA MAREA","OTB","VL2440"
"ITA-206","M/P SS. TRINITA","247094260","1",42.061387761415,11.8126176239045,"SS. TRINITA'","OTB","VL2440"
"ITA-206","MP NUOVA LUCIA","247892860","2",42.061387761415,11.8126176239045,"NUOVA LUCIA","OTB","VL1824"
"ITA-273","BACICIN V","247049280","2",44.3992996740959,8.68794462364634,"BACICIN V","OTB","VL1824"
"ITA-273","P.D`ERCOLE","247204460","1",44.3992996740959,8.68794462364634,"P. D'ERCOLE","OTB","VL1824"
"ITA-297","ANGELA MADRE","247068110","2",42.3720501130125,11.192584570431,"ANGELA MADRE","OTB","VL1824"
