"vessel_name","MMSI","quarter","Country","CFR","UVI","Event","Event.Start.Date","Event.End.Date","Registration.Number","External.marking","Place.of.registration","Place.of.registration.name","IRCS","IRCS.indicator","Licence.indicator","VMS.indicator","ERS.indicator","ERS.Exempt.indicator","AIS.indicator","Vessel.Type","Gear","Subsidiary.fishing.gear.1","Subsidiary.fishing.gear.2","Subsidiary.fishing.gear.3","Subsidiary.fishing.gear.4","Subsidiary.fishing.gear.5","LOA","LBP","Tonnage.GT","Other.tonnage","GTs","Power.of.main.engine","Power.of.auxiliary.engine","Hull.material","Date.of.entry.into.service","Segment","Country.of.importation.exportation","Type.of.export","Public.aid","Year.of.construction","vlength","port","X","Y"
"ANGELO PADRE II","247091080",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANZIO",12.6333007810001,41.447875977
"ARCOBALENO","247096440",1,"ITA","ITA000025255",8581529,"MOD","2023-07-11","2100-12-31","01RO02470","01RO02470","00073","Anzio","IFXA","Y","Y","Y","Y","","Y","FX","OTB","GNS","","","","",23.9,20.45,111,70.22,0,485,"0.00","1","1997-08-19","MFL","","","","1997-01-01","VL1824","ANZIO",12.6333007810001,41.447875977
"GIANNA","247096470",4,"ITA","ITA000010043",8577310,"MOD","2021-04-06","2100-12-31","01RO02474","01RO02474","00073","Anzio","IRBT","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",21.55,18.34,56,59.56,0,220,"0.00","1","1986-08-09","MFL","","","","1986-01-01","VL1824","ANZIO",12.6333007810001,41.447875977
"IMPAVIDO I`","247088050",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANZIO",12.6333007810001,41.447875977
"LUEMA","247081850",2,"ITA","ITA000026401",8578390,"MOD","2021-07-08","2100-12-31","01RO02532","01RO02532","00073","Anzio","IQJY","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",20.55,16.35,95,23.15,0,349,"0.00","2","2004-06-14","MFL","","","","2004-01-01","VL1824","ANZIO",12.6333007810001,41.447875977
"LUNA ROSSA 1","247067010",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANZIO",12.6333007810001,41.447875977
"MARE AZZURRO","247092870",2,"ITA","ITA000019303",NA,"MOD","2020-03-05","2100-12-31","01RO02571","01RO02571","00073","Anzio","IKCW","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",21.42,17.2,48,31.1,0,220,"0.00","1","1996-05-15","MFL","","","","1995-01-01","VL1824","ANZIO",12.6333007810001,41.447875977
"N.PESCE VOLANTE","247091090",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANZIO",12.6333007810001,41.447875977
"PAOLA MADRE","247090910",2,"ITA","ITA000023188",NA,"MOD","2013-09-03","2100-12-31","01RO02303","01RO02303","00073","Anzio","ILTG","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",19.3,14.31,45,53.2,0,331,"0.00","1","1985-12-14","MFL","","","","1985-01-01","VL1824","ANZIO",12.6333007810001,41.447875977
"RAIMONDO SFERLAZZO","247250620",2,"ITA","ITA000027863",8574899,"MOD","2022-07-13","2100-12-31","01RO02491","01RO02491","00073","Anzio","ILWO2","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",23.44,16.84,96,57.14,0,508,"0.00","2","2009-08-25","MFL","","","","2009-01-01","VL1824","ANZIO",12.6333007810001,41.447875977
