"MMSI","vlength","port","gear"
247145030,"VL2440","PORTOFERRAIO","OTB"
247149010,"VL2440","PORTOFERRAIO","OTB"
247147190,"VL2440","PORTOFERRAIO","OTB"
247146950,"VL2440","PORTOFERRAIO","OTB"
247144430,"VL1824","PORTOFERRAIO","OTB"
247065720,"VL1824","PORTO SANTO STEFANO","OTB"
247096930,"VL1824","PORTO SANTO STEFANO","OTB"
247220290,"VL1218","PIOMBINO","OTB"
247066860,"VL1824","LIVORNO","OTB"
247081680,"VL1218","LIVORNO","OTB"
247066930,"VL1218","LIVORNO","OTB"
247220130,"VL2440","PORTOFERRAIO","OTB"
247066180,"VL2440","PORTO SANTO STEFANO","OTB"
247048880,"VL1824","IMPERIA","OTB"
247048990,"VL1824","IMPERIA","OTB"
247042850,"VL1218","IMPERIA","OTB"
247048870,"VL1824","IMPERIA","OTB"
247044790,"VL1218","PIOMBINO","OTB"
247044920,"VL1218","PORTOFINO","OTB"
247041670,"VL1824","CHIAVARI","OTB"
247044970,"VL1218","PORTOFINO","OTB"
247150210,"VL2440","LA SPEZIA","OTB"
247045120,"VL1218","GENOVA","OTB"
247103220,"VL1218","CHIAVARI","OTB"
247063630,"VL1824","VIAREGGIO","OTB"
247200190,"VL1218","CHIAVARI","OTB"
247041470,"VL1824","PORTO SANTO STEFANO","OTB"
247204460,"VL1824","SAVONA","OTB"
247049280,"VL1824","SAVONA","OTB"
247123990,"VL1218","PORTOFINO","OTB"
247045180,"VL1218","CHIAVARI","OTB"
247044930,"VL1824","CHIAVARI","OTB"
247065440,"VL1824","PORTO SANTO STEFANO","OTB"
247222320,"VL1218","PORTO ERCOLE","OTB"
247068110,"VL1824","PORTO ERCOLE","OTB"
247094330,"VL1824","CIVITAVECCHIA","OTB"
247094340,"VL1824","CIVITAVECCHIA","OTB"
247128190,"VL1824","CIVITAVECCHIA","OTB"
247122360,"VL1824","CIVITAVECCHIA","OTB"
247092790,"VL1824","FIUMICINO","OTB"
247093030,"VL1824","FIUMICINO","OTB"
247119090,"VL1824","FIUMICINO","OTB"
247093060,"VL1824","FIUMICINO","OTB"
247094260,"VL2440","CIVITAVECCHIA","OTB"
247094310,"VL1824","CIVITAVECCHIA","OTB"
247092770,"VL1824","FIUMICINO","OTB"
247094320,"VL1824","FIUMICINO","OTB"
247092810,"VL1824","FIUMICINO","OTB"
247094280,"VL1824","CIVITAVECCHIA","OTB"
247099830,"VL1824","CIVITAVECCHIA","OTB"
247123920,"VL1824","FIUMICINO","OTB"
247092920,"VL1824","FIUMICINO","OTB"
247092850,"VL1824","FIUMICINO","OTB"
247149790,"VL1218","FIUMICINO","OTB"
247110830,"VL1824","CIVITAVECCHIA","OTB"
247093010,"VL1824","FIUMICINO","OTB"
247099360,"VL1824","FIUMICINO","OTB"
247111950,"VL1824","CIVITAVECCHIA","OTB"
247892860,"VL1824","FIUMICINO","OTB"
247092830,"VL1824","FIUMICINO","OTB"
247093040,"VL1824","FIUMICINO","OTB"
247099820,"VL1824","CIVITAVECCHIA","OTB"
247099790,"VL2440","CIVITAVECCHIA","OTB"
247099810,"VL1824","CIVITAVECCHIA","OTB"
247091080,"VL1824","ANZIO","OTB"
247096440,"VL1824","ANZIO","OTB"
247067010,"VL1824","ANZIO","OTB"
247096470,"VL1824","ANZIO","OTB"
247088050,"VL1824","ANZIO","OTB"
247090910,"VL1824","ANZIO","OTB"
247250620,"VL1824","ANZIO","OTB"
247090850,"VL1824","ANZIO","OTB"
247081850,"VL1824","ANZIO","OTB"
247080330,"VL1824","ANZIO","OTB"
247090950,"VL1824","ANZIO","OTB"
247096450,"VL2440","ANZIO","OTB"
247092870,"VL1824","ANZIO","OTB"
247091090,"VL1824","ANZIO","OTB"
247152290,"VL1824","PORTO SANTO STEFANO","OTB"
247065730,"VL1824","PORTO SANTO STEFANO","OTB"
247101230,"VL1824","PORTO SANTO STEFANO","OTB"
247300170,"VL1824","PORTO SANTO STEFANO","OTB"
247147420,"VL1824","PORTO SANTO STEFANO","OTB"
247066190,"VL1218","PORTO SANTO STEFANO","OTB"
247065690,"VL1824","PORTO SANTO STEFANO","OTB"
247303790,"VL1824","PORTO SANTO STEFANO","OTB"
247066290,"VL1824","PORTO ERCOLE","OTB"
247042630,"VL1218","PORTO ERCOLE","OTB"
247068070,"VL1824","PORTO ERCOLE","OTB"
