"MMSI","id","gear","vlength"
"247145030","1400:219:2","OTB","VL2440"
"247149010","1400:219:2","OTB","VL2440"
"247147190","1400:219:2","OTB","VL2440"
"247145030","1400:219:4","OTB","VL2440"
"247145030","1400:229:2","OTB","VL2440"
"247145030","1401:110:3","OTB","VL2440"
"247145030","1401:120:1","OTB","VL2440"
"247146950","1400:219:4","OTB","VL2440"
"247146950","1400:229:2","OTB","VL2440"
"247146950","1401:110:3","OTB","VL2440"
"247146950","1401:120:1","OTB","VL2440"
"247149010","1400:219:4","OTB","VL2440"
"247149010","1400:229:2","OTB","VL2440"
"247149010","1401:110:3","OTB","VL2440"
"247149010","1401:120:1","OTB","VL2440"
"247144430","1400:219:4","OTB","VL1824"
"247144430","1400:229:2","OTB","VL1824"
"247144430","1401:110:3","OTB","VL1824"
"247144430","1401:120:1","OTB","VL1824"
"247065720","1400:229:2","OTB","VL1824"
"247065720","1400:229:4","OTB","VL1824"
"247065720","1401:120:1","OTB","VL1824"
"247065720","1401:120:3","OTB","VL1824"
"247145030","1400:229:4","OTB","VL2440"
"247145030","1401:120:3","OTB","VL2440"
"247096930","1400:229:2","OTB","VL1824"
"247096930","1400:229:4","OTB","VL1824"
"247096930","1401:120:1","OTB","VL1824"
"247096930","1401:120:3","OTB","VL1824"
"247144430","1400:229:4","OTB","VL1824"
"247144430","1401:120:3","OTB","VL1824"
"247147190","1400:229:2","OTB","VL2440"
"247149010","1400:229:4","OTB","VL2440"
"247149010","1401:120:3","OTB","VL2440"
"247146950","1400:229:4","OTB","VL2440"
"247146950","1401:120:3","OTB","VL2440"
"247147190","1400:229:4","OTB","VL2440"
"247147190","1401:120:1","OTB","VL2440"
"247147190","1401:120:3","OTB","VL2440"
"247065720","1400:239:2","OTB","VL1824"
"247065720","1401:130:1","OTB","VL1824"
"247220290","1400:229:4","OTB","VL1218"
"247220290","1400:239:2","OTB","VL1218"
"247220290","1401:120:3","OTB","VL1218"
"247220290","1401:130:1","OTB","VL1218"
"247066860","1400:229:4","OTB","VL1824"
"247081680","1400:229:4","OTB","VL1218"
"247066860","1400:239:2","OTB","VL1824"
"247066860","1401:120:3","OTB","VL1824"
"247066860","1401:130:1","OTB","VL1824"
"247066930","1400:229:4","OTB","VL1218"
"247220130","1400:229:4","OTB","VL2440"
"247066180","1400:229:4","OTB","VL2440"
"247048880","1400:237:4","OTB","VL1824"
"247048990","1400:237:4","OTB","VL1824"
"247042850","1400:237:4","OTB","VL1218"
"247048870","1400:237:4","OTB","VL1824"
"247048880","1400:238:3","OTB","VL1824"
"247048870","1400:238:3","OTB","VL1824"
"247048990","1400:238:3","OTB","VL1824"
"247044790","1400:239:2","OTB","VL1218"
"247066930","1400:239:2","OTB","VL1218"
"247081680","1400:239:2","OTB","VL1218"
"247044920","1400:239:3","OTB","VL1218"
"247041670","1400:239:3","OTB","VL1824"
"247041670","1400:239:4","OTB","VL1824"
"247041670","1400:249:1","OTB","VL1824"
"247041670","1400:249:2","OTB","VL1824"
"247044970","1400:239:3","OTB","VL1218"
"247150210","1400:239:3","OTB","VL2440"
"247150210","1400:239:4","OTB","VL2440"
"247150210","1400:249:1","OTB","VL2440"
"247150210","1400:249:2","OTB","VL2440"
"247045120","1400:239:3","OTB","VL1218"
"247045120","1400:239:4","OTB","VL1218"
"247045120","1400:249:1","OTB","VL1218"
"247045120","1400:249:2","OTB","VL1218"
"247103220","1400:239:3","OTB","VL1218"
"247103220","1400:239:4","OTB","VL1218"
"247103220","1400:249:1","OTB","VL1218"
"247103220","1400:249:2","OTB","VL1218"
"247063630","1400:239:4","OTB","VL1824"
"247066860","1400:239:4","OTB","VL1824"
"247200190","1400:239:4","OTB","VL1218"
"247081680","1400:239:4","OTB","VL1218"
"247041470","1400:239:4","OTB","VL1824"
"247066930","1400:239:4","OTB","VL1218"
"247204460","1400:248:1","OTB","VL1824"
"247049280","1400:248:1","OTB","VL1824"
"247204460","1400:248:2","OTB","VL1824"
