"MMSI","vlength","port"
"247145030","VL2440","PORTOFERRAIO"
"247149010","VL2440","PORTOFERRAIO"
"247147190","VL2440","PORTOFERRAIO"
"247146950","VL2440","PORTOFERRAIO"
"247144430","VL1824","PORTOFERRAIO"
"247065720","VL1824","PORTO SANTO STEFANO"
"247096930","VL1824","PORTO SANTO STEFANO"
"247220290","VL1218","PIOMBINO"
"247066860","VL1824","LIVORNO"
"247081680","VL1218","LIVORNO"
"247066930","VL1218","LIVORNO"
"247220130","VL2440","PORTOFERRAIO"
"247066180","VL2440","PORTO SANTO STEFANO"
"247048880","VL1824","IMPERIA"
"247048990","VL1824","IMPERIA"
"247042850","VL1218","IMPERIA"
"247048870","VL1824","IMPERIA"
"247044790","VL1218","PIOMBINO"
"247044920","VL1218","PORTOFINO"
"247041670","VL1824","CHIAVARI"
"247044970","VL1218","PORTOFINO"
"247150210","VL2440","LA SPEZIA"
"247045120","VL1218","GENOVA"
"247103220","VL1218","CHIAVARI"
"247063630","VL1824","VIAREGGIO"
"247200190","VL1218","CHIAVARI"
"247041470","VL1824","PORTO SANTO STEFANO"
"247204460","VL1824","SAVONA"
"247049280","VL1824","SAVONA"
"247123990","VL1218","PORTOFINO"
"247045180","VL1218","CHIAVARI"
"247044930","VL1824","CHIAVARI"
"247065440","VL1824","PORTO SANTO STEFANO"
"247222320","VL1218","PORTO ERCOLE"
"247068110","VL1824","PORTO ERCOLE"
"247094330","VL1824","CIVITAVECCHIA"
"247094340","VL1824","CIVITAVECCHIA"
"247128190","VL1824","CIVITAVECCHIA"
"247122360","VL1824","CIVITAVECCHIA"
"247092790","VL1824","FIUMICINO"
"247093030","VL1824","FIUMICINO"
"247119090","VL1824","FIUMICINO"
"247093060","VL1824","FIUMICINO"
"247094260","VL2440","CIVITAVECCHIA"
"247094310","VL1824","CIVITAVECCHIA"
"247092770","VL1824","FIUMICINO"
"247094320","VL1824","FIUMICINO"
"247092810","VL1824","FIUMICINO"
"247094280","VL1824","CIVITAVECCHIA"
"247099830","VL1824","CIVITAVECCHIA"
"247123920","VL1824","FIUMICINO"
"247092920","VL1824","FIUMICINO"
"247092850","VL1824","FIUMICINO"
"247149790","VL1218","FIUMICINO"
"247110830","VL1824","CIVITAVECCHIA"
"247093010","VL1824","FIUMICINO"
"247099360","VL1824","FIUMICINO"
"247111950","VL1824","CIVITAVECCHIA"
"247892860","VL1824","FIUMICINO"
"247092830","VL1824","FIUMICINO"
"247093040","VL1824","FIUMICINO"
"247099820","VL1824","CIVITAVECCHIA"
"247099790","VL2440","CIVITAVECCHIA"
"247099810","VL1824","CIVITAVECCHIA"
"247091080","VL1824","ANZIO"
"247096440","VL1824","ANZIO"
"247067010","VL1824","ANZIO"
"247096470","VL1824","ANZIO"
"247088050","VL1824","ANZIO"
"247090910","VL1824","ANZIO"
"247250620","VL1824","ANZIO"
"247090850","VL1824","ANZIO"
"247081850","VL1824","ANZIO"
"247080330","VL1824","ANZIO"
"247090950","VL1824","ANZIO"
"247096450","VL2440","ANZIO"
"247092870","VL1824","ANZIO"
"247091090","VL1824","ANZIO"
"247152290","VL1824","PORTO SANTO STEFANO"
"247065730","VL1824","PORTO SANTO STEFANO"
"247101230","VL1824","PORTO SANTO STEFANO"
"247300170","VL1824","PORTO SANTO STEFANO"
"247147420","VL1824","PORTO SANTO STEFANO"
"247066190","VL1218","PORTO SANTO STEFANO"
"247065690","VL1824","PORTO SANTO STEFANO"
"247303790","VL1824","PORTO SANTO STEFANO"
"247066290","VL1824","PORTO ERCOLE"
"247042630","VL1218","PORTO ERCOLE"
"247068070","VL1824","PORTO ERCOLE"
